idx,dbname,features,samples,majority,minority,ir
1,ecoli-0-1-3-7-vs-2-6,7,281,274,7,39.14
2,ecoli4,7,336,316,20,15.80
3,glass-0-1-6-vs-2,9,192,175,17,10.29
4,glass-0-1-6-vs-5,9,184,175,9,19.44
5,glass2,9,214,197,17,11.59
6,glass4,9,214,201,13,15.46
7,glass5,9,214,205,9,22.78
8,page-blocks-1-3-vs-4,10,472,444,28,15.86
9,shuttle-c0-vs-c4,9,1829,1706,123,13.87
10,shuttle-c2-vs-c4,9,129,123,6,20.50
11,vowel0,13,988,898,90,9.98
12,yeast-0-5-6-7-9-vs-4,8,528,477,51,9.35
13,yeast-1-2-8-9-vs-7,8,947,917,30,30.57
14,yeast-1-4-5-8-vs-7,8,693,663,30,22.10
15,yeast-1-vs-7,7,459,429,30,14.30
16,yeast-2-vs-4,8,514,463,51,9.08
17,yeast-2-vs-8,8,482,462,20,23.10
18,yeast4,8,1484,1433,51,28.10
19,yeast5,8,1484,1440,44,32.73
20,yeast6,8,1484,1449,35,41.40
21,ecoli-0-1-4-6-vs-5,6,280,260,20,13.00
22,ecoli-0-1-4-7-vs-2-3-5-6,7,336,307,29,10.59
23,ecoli-0-1-4-7-vs-5-6,6,332,307,25,12.28
24,ecoli-0-1-vs-2-3-5,7,244,220,24,9.17
25,ecoli-0-1-vs-5,6,240,220,20,11.00
26,ecoli-0-2-3-4-vs-5,7,202,182,20,9.10
27,ecoli-0-2-6-7-vs-3-5,7,224,202,22,9.18
28,ecoli-0-3-4-6-vs-5,7,205,185,20,9.25
29,ecoli-0-3-4-7-vs-5-6,7,257,232,25,9.28
30,ecoli-0-3-4-vs-5,7,200,180,20,9.00
31,ecoli-0-4-6-vs-5,6,203,183,20,9.15
32,ecoli-0-6-7-vs-3-5,7,222,200,22,9.09
33,ecoli-0-6-7-vs-5,6,220,200,20,10.00
34,glass-0-1-4-6-vs-2,9,205,188,17,11.06
35,glass-0-1-5-vs-2,9,172,155,17,9.12
36,glass-0-4-vs-5,9,92,83,9,9.22
37,glass-0-6-vs-5,9,108,99,9,11.00
38,yeast-0-2-5-6-vs-3-7-8-9,8,1004,905,99,9.14
39,yeast-0-2-5-7-9-vs-3-6-8,8,1004,905,99,9.14
40,yeast-0-3-5-9-vs-7-8,8,506,456,50,9.12
