@relation unknow
@attribute 'lymphatics' {normal, arched, deformed, displaced}
@attribute 'block_of_affere' {no, yes}
@attribute 'bl_of_lymph_c' {no, yes}
@attribute 'bl_of_lymph_s' {no, yes}
@attribute 'by_pass' {no, yes}
@attribute 'extravasates' {no, yes}
@attribute 'regeneration_of' {no, yes}
@attribute 'early_uptake_in' {no, yes}
@attribute 'lym_nodes_dimin' real [0.0, 3.0]
@attribute 'lym_nodes_enlar' real [1.0, 4.0]
@attribute 'changes_in_lym' {bean, oval, round}
@attribute 'defect_in_node' {no, lacunar, lac_margin, lac_central}
@attribute 'changes_in_node' {no, lacunar, lac_margin, lac_central}
@attribute 'changes_in_stru' {no, grainy, drop_like, coarse, diluted, reticular, stripped, faint}
@attribute 'special_forms' {no, chalices, vesicles}
@attribute 'dislocation_of' {no, yes}
@attribute 'exclusion_of_no' {no, yes}
@attribute 'no_of_nodes_in' real [1.0, 8.0]
@attribute 'class' {normal, metastases, malign_lymph, fibrosis}
@inputs 'lymphatics', 'block_of_affere', 'bl_of_lymph_c', 'bl_of_lymph_s', 'by_pass', 'extravasates', 'regeneration_of', 'early_uptake_in', 'lym_nodes_dimin', 'lym_nodes_enlar', 'changes_in_lym', 'defect_in_node', 'changes_in_node', 'changes_in_stru', 'special_forms', 'dislocation_of', 'exclusion_of_no', 'no_of_nodes_in'
@outputs 'class'
@data
displaced, yes, no, no, no, no, no, yes, 1.0, 2.0, oval, lacunar, lac_central, faint, no, no, yes, 2.0, malign_lymph
arched, yes, no, no, no, yes, no, yes, 1.0, 4.0, round, lac_central, lac_central, faint, vesicles, yes, yes, 7.0, malign_lymph
arched, no, no, no, no, no, no, yes, 1.0, 3.0, oval, lac_central, lac_central, coarse, vesicles, yes, yes, 5.0, malign_lymph
deformed, yes, no, no, no, no, no, no, 1.0, 2.0, oval, lac_margin, lac_margin, drop_like, vesicles, no, no, 2.0, metastases
displaced, yes, yes, no, yes, yes, no, yes, 1.0, 3.0, round, lac_central, lac_margin, faint, chalices, yes, yes, 3.0, metastases
deformed, no, no, no, no, yes, no, yes, 1.0, 4.0, oval, lac_central, lac_central, grainy, vesicles, yes, yes, 3.0, malign_lymph
deformed, no, no, no, no, no, yes, no, 1.0, 2.0, oval, lac_central, lac_margin, diluted, chalices, no, yes, 1.0, metastases
deformed, yes, no, no, no, yes, no, yes, 1.0, 2.0, oval, lacunar, lacunar, no, vesicles, no, no, 1.0, metastases
displaced, no, no, no, no, no, no, yes, 1.0, 4.0, oval, lacunar, lac_central, stripped, vesicles, yes, yes, 7.0, malign_lymph
deformed, yes, no, no, no, yes, no, yes, 1.0, 3.0, oval, lac_central, lac_margin, coarse, chalices, yes, yes, 2.0, metastases
arched, no, no, no, no, no, no, no, 1.0, 1.0, oval, lac_central, lac_margin, faint, chalices, yes, yes, 2.0, metastases
arched, yes, no, no, no, no, no, no, 1.0, 2.0, oval, lac_margin, lac_margin, diluted, chalices, yes, yes, 1.0, metastases
arched, yes, no, no, no, yes, no, yes, 1.0, 2.0, round, lac_margin, lac_margin, diluted, vesicles, yes, yes, 1.0, metastases
displaced, no, no, no, no, yes, no, yes, 1.0, 4.0, round, lac_central, lacunar, diluted, vesicles, yes, yes, 2.0, malign_lymph
displaced, yes, yes, yes, yes, yes, yes, yes, 1.0, 4.0, round, lac_central, lac_central, stripped, vesicles, yes, yes, 8.0, malign_lymph
displaced, yes, yes, yes, yes, yes, no, yes, 1.0, 4.0, round, lac_central, lac_central, stripped, vesicles, yes, yes, 6.0, malign_lymph
deformed, no, no, no, no, no, no, no, 1.0, 2.0, oval, lacunar, lacunar, diluted, no, no, yes, 2.0, malign_lymph
arched, yes, no, no, no, yes, no, yes, 1.0, 2.0, round, lac_margin, lac_margin, diluted, vesicles, yes, yes, 2.0, metastases
arched, no, no, no, no, yes, no, yes, 1.0, 3.0, round, lacunar, lacunar, coarse, vesicles, yes, yes, 6.0, malign_lymph
deformed, yes, yes, no, no, yes, no, no, 1.0, 2.0, round, lac_margin, lac_margin, diluted, chalices, no, yes, 2.0, metastases
arched, no, no, no, no, no, no, yes, 1.0, 3.0, oval, lacunar, lacunar, faint, vesicles, yes, yes, 5.0, malign_lymph
deformed, yes, yes, yes, yes, yes, no, yes, 1.0, 2.0, round, lac_margin, lac_margin, coarse, vesicles, yes, yes, 7.0, metastases
arched, yes, no, no, no, no, no, no, 1.0, 1.0, oval, lacunar, lac_margin, drop_like, no, no, no, 1.0, metastases
displaced, yes, no, no, yes, yes, no, no, 1.0, 1.0, round, lac_margin, lac_margin, drop_like, vesicles, yes, yes, 3.0, metastases
displaced, no, no, no, no, no, no, yes, 1.0, 3.0, round, lacunar, lacunar, coarse, chalices, yes, yes, 2.0, metastases
normal, no, no, no, no, no, no, no, 1.0, 1.0, bean, no, no, no, no, no, no, 1.0, normal
arched, yes, no, no, no, yes, no, yes, 1.0, 3.0, round, lac_central, lacunar, faint, vesicles, yes, yes, 2.0, malign_lymph
displaced, yes, no, no, yes, yes, no, yes, 1.0, 3.0, round, lac_central, lac_margin, coarse, vesicles, yes, yes, 2.0, metastases
displaced, yes, no, no, yes, yes, no, yes, 1.0, 2.0, round, lacunar, lac_margin, grainy, vesicles, yes, yes, 4.0, metastases
deformed, yes, yes, yes, yes, yes, yes, no, 2.0, 2.0, oval, lac_central, lacunar, coarse, vesicles, yes, yes, 7.0, fibrosis
