@relation unknow
@attribute 'lymphatics' {normal, arched, deformed, displaced}
@attribute 'block_of_affere' {no, yes}
@attribute 'bl_of_lymph_c' {no, yes}
@attribute 'bl_of_lymph_s' {no, yes}
@attribute 'by_pass' {no, yes}
@attribute 'extravasates' {no, yes}
@attribute 'regeneration_of' {no, yes}
@attribute 'early_uptake_in' {no, yes}
@attribute 'lym_nodes_dimin' real [0.0, 3.0]
@attribute 'lym_nodes_enlar' real [1.0, 4.0]
@attribute 'changes_in_lym' {bean, oval, round}
@attribute 'defect_in_node' {no, lacunar, lac_margin, lac_central}
@attribute 'changes_in_node' {no, lacunar, lac_margin, lac_central}
@attribute 'changes_in_stru' {no, grainy, drop_like, coarse, diluted, reticular, stripped, faint}
@attribute 'special_forms' {no, chalices, vesicles}
@attribute 'dislocation_of' {no, yes}
@attribute 'exclusion_of_no' {no, yes}
@attribute 'no_of_nodes_in' real [1.0, 8.0]
@attribute 'class' {normal, metastases, malign_lymph, fibrosis}
@inputs 'lymphatics', 'block_of_affere', 'bl_of_lymph_c', 'bl_of_lymph_s', 'by_pass', 'extravasates', 'regeneration_of', 'early_uptake_in', 'lym_nodes_dimin', 'lym_nodes_enlar', 'changes_in_lym', 'defect_in_node', 'changes_in_node', 'changes_in_stru', 'special_forms', 'dislocation_of', 'exclusion_of_no', 'no_of_nodes_in'
@outputs 'class'
@data
arched, no, no, no, no, yes, no, no, 1.0, 2.0, oval, lacunar, lacunar, drop_like, no, no, no, 1.0, malign_lymph
deformed, yes, no, no, no, no, no, yes, 1.0, 3.0, oval, lacunar, lac_central, faint, vesicles, yes, yes, 3.0, malign_lymph
arched, no, no, no, no, no, no, no, 1.0, 1.0, bean, no, no, drop_like, no, yes, yes, 1.0, metastases
deformed, no, no, no, no, yes, no, yes, 1.0, 4.0, round, lac_central, lacunar, coarse, vesicles, yes, yes, 6.0, malign_lymph
arched, no, no, no, no, no, no, yes, 1.0, 2.0, oval, lacunar, lacunar, faint, chalices, yes, yes, 1.0, malign_lymph
arched, yes, yes, no, yes, yes, no, yes, 1.0, 3.0, round, lac_central, lac_margin, coarse, vesicles, yes, yes, 6.0, metastases
deformed, no, no, no, yes, yes, yes, no, 3.0, 1.0, bean, lac_central, lacunar, diluted, vesicles, no, yes, 4.0, fibrosis
deformed, no, no, no, no, yes, no, yes, 1.0, 3.0, round, lac_central, lac_central, coarse, vesicles, no, yes, 6.0, malign_lymph
deformed, yes, no, no, yes, yes, no, no, 1.0, 2.0, oval, lac_central, lac_margin, grainy, no, yes, yes, 3.0, metastases
arched, yes, no, no, no, no, no, no, 1.0, 2.0, round, lac_margin, lac_margin, drop_like, vesicles, no, yes, 1.0, metastases
deformed, yes, yes, no, yes, no, no, yes, 1.0, 2.0, oval, lac_margin, lac_margin, faint, vesicles, no, yes, 1.0, metastases
displaced, yes, yes, no, yes, yes, no, yes, 1.0, 1.0, oval, lacunar, no, drop_like, no, yes, yes, 2.0, malign_lymph
arched, yes, no, no, no, yes, no, yes, 1.0, 3.0, round, lac_margin, lac_central, faint, vesicles, yes, yes, 2.0, malign_lymph
deformed, no, no, no, no, no, no, no, 1.0, 2.0, round, lac_margin, lac_margin, coarse, vesicles, no, yes, 2.0, metastases
displaced, yes, no, no, no, no, no, yes, 1.0, 2.0, oval, lacunar, lac_margin, drop_like, chalices, yes, yes, 1.0, metastases
displaced, no, no, no, no, yes, no, yes, 1.0, 4.0, round, lac_central, lac_margin, drop_like, vesicles, yes, yes, 5.0, malign_lymph
arched, no, no, no, no, yes, no, yes, 1.0, 2.0, oval, lacunar, lacunar, faint, chalices, no, yes, 2.0, malign_lymph
arched, no, no, no, no, no, no, yes, 1.0, 2.0, oval, lacunar, lacunar, coarse, no, yes, no, 2.0, metastases
deformed, no, no, no, no, no, no, yes, 2.0, 1.0, oval, lacunar, lacunar, faint, vesicles, no, yes, 8.0, malign_lymph
arched, yes, no, no, no, no, no, yes, 1.0, 4.0, round, lac_central, lacunar, stripped, vesicles, yes, yes, 5.0, malign_lymph
arched, yes, yes, no, no, no, no, yes, 1.0, 2.0, oval, lac_central, lac_margin, faint, chalices, yes, yes, 2.0, metastases
arched, yes, no, no, yes, yes, no, no, 1.0, 2.0, oval, lac_central, lacunar, faint, vesicles, yes, yes, 1.0, metastases
deformed, yes, yes, no, yes, yes, no, no, 1.0, 3.0, round, lac_central, lac_margin, coarse, chalices, yes, yes, 3.0, metastases
normal, no, no, no, no, yes, no, yes, 1.0, 2.0, oval, no, no, grainy, no, no, no, 2.0, normal
deformed, yes, no, no, no, yes, no, no, 1.0, 2.0, oval, lac_central, lac_margin, coarse, no, yes, yes, 2.0, metastases
arched, yes, no, no, no, yes, no, no, 1.0, 2.0, oval, lacunar, lac_margin, diluted, chalices, no, yes, 2.0, metastases
arched, yes, no, no, no, no, no, yes, 1.0, 2.0, round, lac_margin, lac_margin, diluted, vesicles, no, yes, 1.0, metastases
arched, yes, no, no, yes, yes, no, no, 1.0, 3.0, round, lac_central, lac_margin, coarse, vesicles, no, no, 1.0, metastases
arched, no, no, no, no, no, no, yes, 1.0, 2.0, oval, lac_central, lac_central, faint, chalices, no, yes, 2.0, malign_lymph
deformed, yes, no, no, no, yes, no, yes, 1.0, 2.0, round, lac_margin, lac_margin, grainy, chalices, yes, yes, 3.0, metastases
