@relation unknow
@attribute height real [1.0, 804.0]
@attribute lenght real [1.0, 553.0]
@attribute area real [7.0, 143993.0]
@attribute eccen real [0.0070, 537.0]
@attribute p_black real [0.052, 1.0]
@attribute p_and real [0.062, 1.0]
@attribute mean_tr real [1.0, 4955.0]
@attribute blackpix real [1.0, 33017.0]
@attribute blackand real [7.0, 46133.0]
@attribute wb_trans real [1.0, 3212.0]
@attribute class {1, 2, 4, 5, 3}
@inputs height, lenght, area, eccen, p_black, p_and, mean_tr, blackpix, blackand, wb_trans
@outputs class
@data
6.0, 7.0, 42.0, 1.167, 0.357, 0.548, 7.5, 15.0, 23.0, 2.0, 1
9.0, 85.0, 765.0, 9.444, 0.302, 0.812, 1.82, 231.0, 621.0, 127.0, 1
10.0, 38.0, 380.0, 3.8, 0.387, 0.887, 2.49, 147.0, 337.0, 59.0, 1
7.0, 122.0, 854.0, 17.429, 0.281, 0.626, 1.73, 240.0, 535.0, 139.0, 1
8.0, 2.0, 16.0, 0.25, 0.563, 0.563, 9.0, 9.0, 9.0, 1.0, 1
9.0, 92.0, 828.0, 10.222, 0.365, 0.954, 2.2, 302.0, 790.0, 137.0, 1
9.0, 99.0, 891.0, 11.0, 0.38, 0.93, 1.92, 339.0, 829.0, 177.0, 1
10.0, 99.0, 990.0, 9.9, 0.473, 0.917, 2.93, 468.0, 908.0, 160.0, 1
8.0, 99.0, 792.0, 12.375, 0.351, 0.962, 1.66, 278.0, 762.0, 167.0, 1
10.0, 8.0, 80.0, 0.8, 0.525, 0.875, 7.0, 42.0, 70.0, 6.0, 1
12.0, 48.0, 576.0, 4.0, 0.252, 0.755, 1.71, 145.0, 435.0, 85.0, 1
1.0, 35.0, 35.0, 35.0, 0.857, 1.0, 10.0, 30.0, 35.0, 3.0, 2
7.0, 35.0, 245.0, 5.0, 0.494, 0.902, 2.57, 121.0, 221.0, 47.0, 1
10.0, 130.0, 1300.0, 13.0, 0.453, 0.822, 2.78, 589.0, 1069.0, 212.0, 1
9.0, 49.0, 441.0, 5.444, 0.587, 0.961, 3.12, 259.0, 424.0, 83.0, 1
9.0, 47.0, 423.0, 5.222, 0.307, 0.872, 2.03, 130.0, 369.0, 64.0, 1
15.0, 342.0, 5130.0, 22.8, 0.24, 0.548, 2.49, 1232.0, 2810.0, 495.0, 1
9.0, 123.0, 1107.0, 13.667, 0.39, 0.996, 2.82, 432.0, 1103.0, 153.0, 1
15.0, 61.0, 915.0, 4.067, 0.247, 0.515, 1.87, 226.0, 471.0, 121.0, 1
9.0, 107.0, 963.0, 11.889, 0.383, 0.858, 2.22, 369.0, 826.0, 166.0, 1
6.0, 90.0, 540.0, 15.0, 0.298, 0.77, 1.55, 161.0, 416.0, 104.0, 1
12.0, 80.0, 960.0, 6.667, 0.324, 0.673, 2.45, 311.0, 646.0, 127.0, 1
5.0, 28.0, 140.0, 5.6, 0.329, 0.871, 1.77, 46.0, 122.0, 26.0, 1
8.0, 40.0, 320.0, 5.0, 0.463, 0.969, 2.47, 148.0, 310.0, 60.0, 1
9.0, 42.0, 378.0, 4.667, 0.45, 0.905, 2.79, 170.0, 342.0, 61.0, 1
9.0, 71.0, 639.0, 7.889, 0.352, 0.897, 1.97, 225.0, 573.0, 114.0, 1
4.0, 65.0, 260.0, 16.25, 0.296, 0.631, 2.66, 77.0, 164.0, 29.0, 1
7.0, 213.0, 1491.0, 30.429, 0.199, 0.733, 1.25, 296.0, 1093.0, 237.0, 1
16.0, 30.0, 480.0, 1.875, 0.133, 0.471, 2.29, 64.0, 226.0, 28.0, 5
