@relation unknow
@attribute height real [1.0, 804.0]
@attribute lenght real [1.0, 553.0]
@attribute area real [7.0, 143993.0]
@attribute eccen real [0.0070, 537.0]
@attribute p_black real [0.052, 1.0]
@attribute p_and real [0.062, 1.0]
@attribute mean_tr real [1.0, 4955.0]
@attribute blackpix real [1.0, 33017.0]
@attribute blackand real [7.0, 46133.0]
@attribute wb_trans real [1.0, 3212.0]
@attribute class {1, 2, 4, 5, 3}
@inputs height, lenght, area, eccen, p_black, p_and, mean_tr, blackpix, blackand, wb_trans
@outputs class
@data
9.0, 37.0, 333.0, 4.111, 0.532, 0.913, 3.22, 177.0, 304.0, 55.0, 1
9.0, 34.0, 306.0, 3.778, 0.32, 0.886, 1.56, 98.0, 271.0, 63.0, 1
12.0, 12.0, 144.0, 1.0, 0.306, 0.979, 1.69, 44.0, 141.0, 26.0, 1
3.0, 116.0, 348.0, 38.667, 0.356, 0.371, 62.0, 124.0, 129.0, 2.0, 2
1.0, 9.0, 9.0, 9.0, 0.778, 1.0, 7.0, 7.0, 9.0, 1.0, 1
6.0, 22.0, 132.0, 3.667, 0.197, 1.0, 2.89, 26.0, 132.0, 9.0, 1
10.0, 79.0, 790.0, 7.9, 0.385, 0.88, 2.13, 304.0, 695.0, 143.0, 1
8.0, 27.0, 216.0, 3.375, 0.218, 0.829, 2.14, 47.0, 179.0, 22.0, 1
10.0, 47.0, 470.0, 4.7, 0.336, 0.628, 2.26, 158.0, 295.0, 70.0, 1
12.0, 85.0, 1020.0, 7.083, 0.305, 0.828, 1.94, 311.0, 845.0, 160.0, 1
9.0, 7.0, 63.0, 0.778, 0.302, 0.603, 1.9, 19.0, 38.0, 10.0, 1
1.0, 19.0, 19.0, 19.0, 0.684, 1.0, 4.33, 13.0, 19.0, 3.0, 2
9.0, 6.0, 54.0, 0.667, 0.37, 0.907, 2.5, 20.0, 49.0, 8.0, 1
1.0, 46.0, 46.0, 46.0, 0.239, 1.0, 1.38, 11.0, 46.0, 8.0, 2
9.0, 95.0, 855.0, 10.556, 0.284, 0.849, 1.91, 243.0, 726.0, 127.0, 1
9.0, 64.0, 576.0, 7.111, 0.302, 0.92, 1.98, 174.0, 530.0, 88.0, 1
9.0, 45.0, 405.0, 5.0, 0.319, 0.923, 2.11, 129.0, 374.0, 61.0, 1
7.0, 6.0, 42.0, 0.857, 0.333, 0.762, 4.67, 14.0, 32.0, 3.0, 1
15.0, 54.0, 810.0, 3.6, 0.323, 0.689, 2.45, 262.0, 558.0, 107.0, 1
9.0, 117.0, 1053.0, 13.0, 0.419, 0.947, 2.48, 441.0, 997.0, 178.0, 1
7.0, 71.0, 497.0, 10.143, 0.394, 0.958, 1.87, 196.0, 476.0, 105.0, 1
6.0, 51.0, 306.0, 8.5, 0.294, 0.775, 1.48, 90.0, 237.0, 61.0, 1
11.0, 23.0, 253.0, 2.091, 0.415, 0.858, 3.5, 105.0, 217.0, 30.0, 1
9.0, 71.0, 639.0, 7.889, 0.294, 0.762, 2.16, 188.0, 487.0, 87.0, 1
6.0, 101.0, 606.0, 16.833, 0.393, 0.752, 1.98, 238.0, 456.0, 120.0, 1
16.0, 44.0, 704.0, 2.75, 0.376, 0.744, 2.39, 265.0, 524.0, 111.0, 1
9.0, 35.0, 315.0, 3.889, 0.273, 0.654, 1.65, 86.0, 206.0, 52.0, 1
9.0, 21.0, 189.0, 2.333, 0.302, 0.614, 1.9, 57.0, 116.0, 30.0, 1
7.0, 13.0, 91.0, 1.857, 0.154, 0.484, 2.0, 14.0, 44.0, 7.0, 5
7.0, 11.0, 77.0, 1.571, 0.351, 0.87, 1.5, 27.0, 67.0, 18.0, 1
5.0, 4.0, 20.0, 0.8, 0.35, 0.85, 1.75, 7.0, 17.0, 4.0, 1
4.0, 18.0, 72.0, 4.5, 0.333, 0.667, 1.71, 24.0, 48.0, 14.0, 1
9.0, 21.0, 189.0, 2.333, 0.175, 0.513, 1.65, 33.0, 97.0, 20.0, 1
10.0, 12.0, 120.0, 1.2, 0.142, 0.317, 2.83, 17.0, 38.0, 6.0, 1
7.0, 6.0, 42.0, 0.857, 0.476, 0.881, 1.82, 20.0, 37.0, 11.0, 1
8.0, 27.0, 216.0, 3.375, 0.208, 0.852, 1.45, 45.0, 184.0, 31.0, 1
7.0, 43.0, 301.0, 6.143, 0.246, 0.947, 1.32, 74.0, 285.0, 56.0, 1
6.0, 17.0, 102.0, 2.833, 0.324, 1.0, 1.32, 33.0, 102.0, 25.0, 1
7.0, 16.0, 112.0, 2.286, 0.304, 0.955, 1.13, 34.0, 107.0, 30.0, 1
10.0, 9.0, 90.0, 0.9, 0.222, 1.0, 1.25, 20.0, 90.0, 16.0, 1
8.0, 6.0, 48.0, 0.75, 0.313, 0.813, 1.88, 15.0, 39.0, 8.0, 1
7.0, 14.0, 98.0, 2.0, 0.214, 0.786, 1.11, 21.0, 77.0, 19.0, 1
10.0, 33.0, 330.0, 3.3, 0.182, 0.564, 1.4, 60.0, 186.0, 43.0, 1
7.0, 11.0, 77.0, 1.571, 0.364, 0.935, 1.4, 28.0, 72.0, 20.0, 1
7.0, 40.0, 280.0, 5.714, 0.311, 0.939, 1.43, 87.0, 263.0, 61.0, 1
7.0, 16.0, 112.0, 2.286, 0.259, 1.0, 2.07, 29.0, 112.0, 14.0, 1
9.0, 41.0, 369.0, 4.556, 0.263, 0.743, 1.41, 97.0, 274.0, 69.0, 1
6.0, 7.0, 42.0, 1.167, 0.524, 1.0, 2.0, 22.0, 42.0, 11.0, 1
6.0, 8.0, 48.0, 1.333, 0.542, 0.938, 2.0, 26.0, 45.0, 13.0, 1
10.0, 11.0, 110.0, 1.1, 0.473, 1.0, 2.48, 52.0, 110.0, 21.0, 1
8.0, 13.0, 104.0, 1.625, 0.529, 0.798, 2.89, 55.0, 83.0, 19.0, 1
6.0, 16.0, 96.0, 2.667, 0.49, 0.938, 2.14, 47.0, 90.0, 22.0, 1
8.0, 19.0, 152.0, 2.375, 0.368, 0.704, 2.33, 56.0, 107.0, 24.0, 1
8.0, 21.0, 168.0, 2.625, 0.435, 1.0, 1.97, 73.0, 168.0, 37.0, 1
11.0, 150.0, 1650.0, 13.636, 0.186, 0.533, 2.06, 307.0, 879.0, 149.0, 1
5.0, 7.0, 35.0, 1.4, 0.6, 0.886, 3.5, 21.0, 31.0, 6.0, 1
10.0, 54.0, 540.0, 5.4, 0.319, 0.824, 1.83, 172.0, 445.0, 94.0, 1
8.0, 39.0, 312.0, 4.875, 0.282, 0.747, 2.0, 88.0, 233.0, 44.0, 1
8.0, 8.0, 64.0, 1.0, 0.391, 1.0, 2.5, 25.0, 64.0, 10.0, 1
7.0, 8.0, 56.0, 1.143, 0.482, 1.0, 2.25, 27.0, 56.0, 12.0, 1
11.0, 109.0, 1199.0, 9.909, 0.234, 0.62, 1.92, 281.0, 743.0, 146.0, 1
10.0, 35.0, 350.0, 3.5, 0.311, 0.72, 1.88, 109.0, 252.0, 58.0, 1
5.0, 14.0, 70.0, 2.8, 0.557, 0.871, 2.79, 39.0, 61.0, 14.0, 1
8.0, 12.0, 96.0, 1.5, 0.396, 0.969, 1.81, 38.0, 93.0, 21.0, 1
10.0, 20.0, 200.0, 2.0, 0.375, 0.855, 2.27, 75.0, 171.0, 33.0, 1
8.0, 24.0, 192.0, 3.0, 0.328, 0.625, 1.75, 63.0, 120.0, 36.0, 1
24.0, 280.0, 6720.0, 11.667, 0.449, 0.904, 7.76, 3018.0, 6072.0, 389.0, 1
6.0, 4.0, 24.0, 0.667, 0.417, 0.583, 5.0, 10.0, 14.0, 2.0, 1
6.0, 75.0, 450.0, 12.5, 0.356, 0.973, 1.47, 160.0, 438.0, 109.0, 1
31.0, 105.0, 3255.0, 3.387, 0.224, 0.417, 5.35, 728.0, 1358.0, 136.0, 5
9.0, 535.0, 4815.0, 59.444, 0.106, 0.47, 1.21, 510.0, 2262.0, 422.0, 1
7.0, 141.0, 987.0, 20.143, 0.16, 0.757, 1.17, 158.0, 747.0, 135.0, 1
28.0, 61.0, 1708.0, 2.179, 0.172, 0.509, 1.97, 294.0, 870.0, 149.0, 5
9.0, 148.0, 1332.0, 16.444, 0.198, 0.77, 1.33, 264.0, 1025.0, 198.0, 1
9.0, 180.0, 1620.0, 20.0, 0.16, 0.523, 1.39, 259.0, 847.0, 186.0, 1
13.0, 38.0, 494.0, 2.923, 0.312, 0.955, 3.42, 154.0, 472.0, 45.0, 1
7.0, 140.0, 980.0, 20.0, 0.131, 0.666, 1.28, 128.0, 653.0, 100.0, 1
1.0, 10.0, 10.0, 10.0, 0.8, 1.0, 4.0, 8.0, 10.0, 2.0, 2
25.0, 169.0, 4225.0, 6.76, 0.215, 0.947, 1.57, 907.0, 4000.0, 579.0, 2
10.0, 17.0, 170.0, 1.7, 0.506, 0.771, 7.82, 86.0, 131.0, 11.0, 1
31.0, 1.0, 31.0, 0.032, 1.0, 1.0, 31.0, 31.0, 31.0, 1.0, 4
11.0, 165.0, 1815.0, 15.0, 0.354, 0.706, 3.38, 643.0, 1282.0, 190.0, 1
9.0, 160.0, 1440.0, 17.778, 0.36, 0.763, 2.63, 518.0, 1098.0, 197.0, 1
9.0, 19.0, 171.0, 2.111, 0.667, 0.895, 7.6, 114.0, 153.0, 15.0, 1
11.0, 20.0, 220.0, 1.818, 0.564, 0.918, 8.86, 124.0, 202.0, 14.0, 1
10.0, 256.0, 2560.0, 25.6, 0.371, 0.779, 2.95, 951.0, 1995.0, 322.0, 1
16.0, 376.0, 6016.0, 23.5, 0.371, 0.58, 5.57, 2232.0, 3490.0, 401.0, 1
12.0, 10.0, 120.0, 0.833, 0.675, 0.783, 11.57, 81.0, 94.0, 7.0, 1
8.0, 104.0, 832.0, 13.0, 0.575, 0.87, 3.71, 478.0, 724.0, 129.0, 1
17.0, 19.0, 323.0, 1.118, 0.362, 0.381, 58.5, 117.0, 123.0, 2.0, 1
8.0, 152.0, 1216.0, 19.0, 0.27, 0.623, 2.0, 328.0, 757.0, 164.0, 1
7.0, 110.0, 770.0, 15.714, 0.174, 0.447, 1.25, 134.0, 344.0, 107.0, 1
8.0, 208.0, 1664.0, 26.0, 0.194, 0.491, 1.65, 323.0, 817.0, 196.0, 1
8.0, 242.0, 1936.0, 30.25, 0.232, 0.611, 1.72, 450.0, 1183.0, 262.0, 1
9.0, 111.0, 999.0, 12.333, 0.209, 0.571, 1.57, 209.0, 570.0, 133.0, 1
1.0, 91.0, 91.0, 91.0, 0.352, 1.0, 1.03, 32.0, 91.0, 31.0, 1
6.0, 31.0, 186.0, 5.167, 0.199, 0.565, 1.85, 37.0, 105.0, 20.0, 1
5.0, 6.0, 30.0, 1.2, 0.233, 1.0, 1.4, 7.0, 30.0, 5.0, 1
8.0, 39.0, 312.0, 4.875, 0.205, 0.712, 1.36, 64.0, 222.0, 47.0, 1
5.0, 13.0, 65.0, 2.6, 0.292, 0.892, 1.46, 19.0, 58.0, 13.0, 1
5.0, 39.0, 195.0, 7.8, 0.338, 0.903, 1.35, 66.0, 176.0, 49.0, 1
14.0, 412.0, 5768.0, 29.429, 0.179, 0.671, 1.59, 1032.0, 3869.0, 651.0, 1
8.0, 183.0, 1464.0, 22.875, 0.185, 0.76, 1.43, 271.0, 1112.0, 190.0, 1
7.0, 346.0, 2422.0, 49.429, 0.185, 0.731, 1.26, 448.0, 1771.0, 355.0, 1
1.0, 126.0, 126.0, 126.0, 0.992, 1.0, 125.0, 125.0, 126.0, 1.0, 2
12.0, 33.0, 396.0, 2.75, 0.391, 0.793, 4.08, 155.0, 314.0, 38.0, 1
11.0, 11.0, 121.0, 1.0, 0.455, 0.876, 4.23, 55.0, 106.0, 13.0, 1
11.0, 11.0, 121.0, 1.0, 0.438, 0.868, 4.08, 53.0, 105.0, 13.0, 1
2.0, 62.0, 124.0, 31.0, 0.452, 0.565, 11.2, 56.0, 70.0, 5.0, 2
