@relation unknow
@attribute height real [1.0, 804.0]
@attribute lenght real [1.0, 553.0]
@attribute area real [7.0, 143993.0]
@attribute eccen real [0.0070, 537.0]
@attribute p_black real [0.052, 1.0]
@attribute p_and real [0.062, 1.0]
@attribute mean_tr real [1.0, 4955.0]
@attribute blackpix real [1.0, 33017.0]
@attribute blackand real [7.0, 46133.0]
@attribute wb_trans real [1.0, 3212.0]
@attribute class {1, 2, 4, 5, 3}
@inputs height, lenght, area, eccen, p_black, p_and, mean_tr, blackpix, blackand, wb_trans
@outputs class
@data
2.0, 18.0, 36.0, 9.0, 0.667, 0.694, 24.0, 24.0, 25.0, 1.0, 2
8.0, 20.0, 160.0, 2.5, 0.5, 1.0, 2.76, 80.0, 160.0, 29.0, 1
25.0, 71.0, 1775.0, 2.84, 0.234, 0.748, 2.22, 416.0, 1328.0, 187.0, 1
12.0, 8.0, 96.0, 0.667, 0.198, 1.0, 2.11, 19.0, 96.0, 9.0, 1
311.0, 463.0, 143993.0, 1.489, 0.088, 0.16, 3.93, 12631.0, 23092.0, 3212.0, 5
9.0, 5.0, 45.0, 0.556, 0.711, 0.889, 10.67, 32.0, 40.0, 3.0, 1
9.0, 82.0, 738.0, 9.111, 0.32, 0.947, 2.13, 236.0, 699.0, 111.0, 1
12.0, 117.0, 1404.0, 9.75, 0.251, 0.635, 1.86, 353.0, 891.0, 190.0, 1
1.0, 17.0, 17.0, 17.0, 0.882, 1.0, 7.5, 15.0, 17.0, 2.0, 2
10.0, 19.0, 190.0, 1.9, 0.363, 0.837, 2.46, 69.0, 159.0, 28.0, 1
9.0, 99.0, 891.0, 11.0, 0.484, 0.951, 2.52, 431.0, 847.0, 171.0, 1
8.0, 76.0, 608.0, 9.5, 0.475, 0.87, 2.73, 289.0, 529.0, 106.0, 1
12.0, 58.0, 696.0, 4.833, 0.343, 0.803, 3.85, 239.0, 559.0, 62.0, 1
9.0, 107.0, 963.0, 11.889, 0.375, 0.861, 1.94, 361.0, 829.0, 186.0, 1
6.0, 44.0, 264.0, 7.333, 0.447, 0.811, 2.11, 118.0, 214.0, 56.0, 1
9.0, 43.0, 387.0, 4.778, 0.388, 0.886, 2.73, 150.0, 343.0, 55.0, 1
11.0, 38.0, 418.0, 3.455, 0.328, 0.852, 1.96, 137.0, 356.0, 70.0, 1
7.0, 17.0, 119.0, 2.429, 0.454, 0.866, 3.18, 54.0, 103.0, 17.0, 1
10.0, 174.0, 1740.0, 17.4, 0.278, 0.733, 2.02, 483.0, 1276.0, 239.0, 1
9.0, 23.0, 207.0, 2.556, 0.169, 0.319, 2.92, 35.0, 66.0, 12.0, 1
8.0, 31.0, 248.0, 3.875, 0.298, 0.871, 1.45, 74.0, 216.0, 51.0, 1
8.0, 272.0, 2176.0, 34.0, 0.197, 0.629, 1.38, 428.0, 1369.0, 310.0, 1
8.0, 71.0, 568.0, 8.875, 0.238, 0.701, 1.47, 135.0, 398.0, 92.0, 1
8.0, 25.0, 200.0, 3.125, 0.24, 0.91, 1.45, 48.0, 182.0, 33.0, 1
6.0, 17.0, 102.0, 2.833, 0.245, 0.598, 1.56, 25.0, 61.0, 16.0, 1
8.0, 21.0, 168.0, 2.625, 0.262, 0.696, 1.52, 44.0, 117.0, 29.0, 1
1.0, 33.0, 33.0, 33.0, 0.667, 1.0, 3.67, 22.0, 33.0, 6.0, 2
7.0, 182.0, 1274.0, 26.0, 0.203, 0.62, 1.27, 259.0, 790.0, 204.0, 1
8.0, 43.0, 344.0, 5.375, 0.212, 0.721, 1.4, 73.0, 248.0, 52.0, 1
8.0, 30.0, 240.0, 3.75, 0.233, 0.833, 1.24, 56.0, 200.0, 45.0, 1
7.0, 11.0, 77.0, 1.571, 0.351, 0.961, 1.35, 27.0, 74.0, 20.0, 1
7.0, 26.0, 182.0, 3.714, 0.352, 1.0, 1.36, 64.0, 182.0, 47.0, 1
7.0, 31.0, 217.0, 4.429, 0.276, 0.788, 1.25, 60.0, 171.0, 48.0, 1
7.0, 14.0, 98.0, 2.0, 0.378, 1.0, 1.95, 37.0, 98.0, 19.0, 1
5.0, 6.0, 30.0, 1.2, 0.3, 1.0, 1.8, 9.0, 30.0, 5.0, 1
7.0, 15.0, 105.0, 2.143, 0.229, 0.886, 1.6, 24.0, 93.0, 15.0, 1
