@relation unknow
@attribute height real [1.0, 804.0]
@attribute lenght real [1.0, 553.0]
@attribute area real [7.0, 143993.0]
@attribute eccen real [0.0070, 537.0]
@attribute p_black real [0.052, 1.0]
@attribute p_and real [0.062, 1.0]
@attribute mean_tr real [1.0, 4955.0]
@attribute blackpix real [1.0, 33017.0]
@attribute blackand real [7.0, 46133.0]
@attribute wb_trans real [1.0, 3212.0]
@attribute class {1, 2, 4, 5, 3}
@inputs height, lenght, area, eccen, p_black, p_and, mean_tr, blackpix, blackand, wb_trans
@outputs class
@data
11.0, 99.0, 1089.0, 9.0, 0.23, 0.601, 2.14, 250.0, 654.0, 117.0, 1
10.0, 131.0, 1310.0, 13.1, 0.415, 0.857, 2.74, 543.0, 1123.0, 198.0, 1
9.0, 45.0, 405.0, 5.0, 0.442, 0.956, 3.31, 179.0, 387.0, 54.0, 1
10.0, 11.0, 110.0, 1.1, 0.373, 1.0, 1.58, 41.0, 110.0, 26.0, 1
9.0, 47.0, 423.0, 5.222, 0.333, 0.757, 2.39, 141.0, 320.0, 59.0, 1
12.0, 101.0, 1212.0, 8.417, 0.292, 0.792, 1.99, 354.0, 960.0, 178.0, 1
10.0, 87.0, 870.0, 8.7, 0.344, 0.901, 2.27, 299.0, 784.0, 132.0, 1
1.0, 117.0, 117.0, 117.0, 0.393, 1.0, 5.75, 46.0, 117.0, 8.0, 2
9.0, 22.0, 198.0, 2.444, 0.318, 0.909, 2.42, 63.0, 180.0, 26.0, 1
9.0, 41.0, 369.0, 4.556, 0.374, 0.846, 2.06, 138.0, 312.0, 67.0, 1
9.0, 64.0, 576.0, 7.111, 0.307, 0.842, 1.99, 177.0, 485.0, 89.0, 1
8.0, 54.0, 432.0, 6.75, 0.35, 0.887, 1.74, 151.0, 383.0, 87.0, 1
9.0, 27.0, 243.0, 3.0, 0.346, 0.951, 1.95, 84.0, 231.0, 43.0, 1
1.0, 148.0, 148.0, 148.0, 0.959, 1.0, 47.33, 142.0, 148.0, 3.0, 2
10.0, 35.0, 350.0, 3.5, 0.38, 0.829, 2.02, 133.0, 290.0, 66.0, 1
13.0, 85.0, 1105.0, 6.538, 0.327, 0.633, 2.76, 361.0, 700.0, 131.0, 1
28.0, 137.0, 3836.0, 4.893, 0.265, 0.564, 5.05, 1016.0, 2163.0, 201.0, 1
24.0, 117.0, 2808.0, 4.875, 0.347, 0.729, 2.88, 975.0, 2048.0, 338.0, 1
153.0, 442.0, 67626.0, 2.889, 0.114, 0.215, 6.27, 7689.0, 14538.0, 1227.0, 5
12.0, 124.0, 1488.0, 10.333, 0.3, 0.869, 1.96, 447.0, 1293.0, 228.0, 1
6.0, 39.0, 234.0, 6.5, 0.303, 0.739, 1.58, 71.0, 173.0, 45.0, 1
12.0, 116.0, 1392.0, 9.667, 0.331, 0.756, 2.62, 461.0, 1053.0, 176.0, 1
9.0, 35.0, 315.0, 3.889, 0.397, 0.832, 1.92, 125.0, 262.0, 65.0, 1
8.0, 55.0, 440.0, 6.875, 0.243, 0.657, 1.39, 107.0, 289.0, 77.0, 1
8.0, 28.0, 224.0, 3.5, 0.299, 0.969, 1.6, 67.0, 217.0, 42.0, 1
8.0, 25.0, 200.0, 3.125, 0.28, 0.825, 1.6, 56.0, 165.0, 35.0, 1
8.0, 261.0, 2088.0, 32.625, 0.218, 0.773, 1.34, 455.0, 1615.0, 340.0, 1
9.0, 34.0, 306.0, 3.778, 0.225, 0.755, 1.57, 69.0, 231.0, 44.0, 1
5.0, 8.0, 40.0, 1.6, 0.425, 1.0, 1.89, 17.0, 40.0, 9.0, 1
8.0, 16.0, 128.0, 2.0, 0.242, 0.602, 1.94, 31.0, 77.0, 16.0, 1
5.0, 8.0, 40.0, 1.6, 0.6, 0.975, 2.18, 24.0, 39.0, 11.0, 1
7.0, 17.0, 119.0, 2.429, 0.353, 0.79, 1.56, 42.0, 94.0, 27.0, 1
7.0, 27.0, 189.0, 3.857, 0.079, 0.175, 2.5, 15.0, 33.0, 6.0, 1
7.0, 44.0, 308.0, 6.286, 0.218, 0.734, 1.26, 67.0, 226.0, 53.0, 1
9.0, 47.0, 423.0, 5.222, 0.279, 0.773, 1.53, 118.0, 327.0, 77.0, 1
5.0, 19.0, 95.0, 3.8, 0.442, 0.937, 1.5, 42.0, 89.0, 28.0, 1
7.0, 13.0, 91.0, 1.857, 0.286, 0.989, 1.73, 26.0, 90.0, 15.0, 1
7.0, 7.0, 49.0, 1.0, 0.327, 1.0, 1.33, 16.0, 49.0, 12.0, 1
8.0, 44.0, 352.0, 5.5, 0.284, 0.673, 1.43, 100.0, 237.0, 70.0, 1
7.0, 11.0, 77.0, 1.571, 0.377, 0.974, 1.61, 29.0, 75.0, 18.0, 1
