@relation unknow
@attribute height real [1.0, 804.0]
@attribute lenght real [1.0, 553.0]
@attribute area real [7.0, 143993.0]
@attribute eccen real [0.0070, 537.0]
@attribute p_black real [0.052, 1.0]
@attribute p_and real [0.062, 1.0]
@attribute mean_tr real [1.0, 4955.0]
@attribute blackpix real [1.0, 33017.0]
@attribute blackand real [7.0, 46133.0]
@attribute wb_trans real [1.0, 3212.0]
@attribute class {1, 2, 4, 5, 3}
@inputs height, lenght, area, eccen, p_black, p_and, mean_tr, blackpix, blackand, wb_trans
@outputs class
@data
5.0, 7.0, 35.0, 1.4, 0.486, 0.914, 8.5, 17.0, 32.0, 2.0, 1
10.0, 12.0, 120.0, 1.2, 0.367, 1.0, 1.69, 44.0, 120.0, 26.0, 1
9.0, 12.0, 108.0, 1.333, 0.454, 1.0, 1.69, 49.0, 108.0, 29.0, 1
3.0, 132.0, 396.0, 44.0, 0.505, 0.558, 20.0, 200.0, 221.0, 10.0, 2
9.0, 36.0, 324.0, 4.0, 0.54, 0.929, 2.87, 175.0, 301.0, 61.0, 1
8.0, 41.0, 328.0, 5.125, 0.363, 0.942, 1.63, 119.0, 309.0, 73.0, 1
10.0, 96.0, 960.0, 9.6, 0.418, 0.886, 2.49, 401.0, 851.0, 161.0, 1
10.0, 126.0, 1260.0, 12.6, 0.463, 0.848, 3.16, 584.0, 1068.0, 185.0, 1
10.0, 123.0, 1230.0, 12.3, 0.362, 0.888, 2.99, 445.0, 1092.0, 149.0, 1
11.0, 207.0, 2277.0, 18.818, 0.268, 0.723, 1.84, 610.0, 1647.0, 332.0, 1
1.0, 152.0, 152.0, 152.0, 0.822, 1.0, 11.36, 125.0, 152.0, 11.0, 2
1.0, 52.0, 52.0, 52.0, 0.981, 1.0, 51.0, 51.0, 52.0, 1.0, 2
9.0, 37.0, 333.0, 4.111, 0.538, 0.901, 2.8, 179.0, 300.0, 64.0, 1
10.0, 84.0, 840.0, 8.4, 0.356, 0.849, 2.47, 299.0, 713.0, 121.0, 1
9.0, 37.0, 333.0, 4.111, 0.39, 0.811, 2.03, 130.0, 270.0, 64.0, 1
10.0, 85.0, 850.0, 8.5, 0.324, 0.675, 2.25, 275.0, 574.0, 122.0, 1
7.0, 7.0, 49.0, 1.0, 0.327, 0.898, 2.29, 16.0, 44.0, 7.0, 1
9.0, 38.0, 342.0, 4.222, 0.444, 0.898, 2.71, 152.0, 307.0, 56.0, 1
1.0, 37.0, 37.0, 37.0, 0.811, 1.0, 6.0, 30.0, 37.0, 5.0, 2
6.0, 28.0, 168.0, 4.667, 0.405, 0.804, 1.84, 68.0, 135.0, 37.0, 1
7.0, 175.0, 1225.0, 25.0, 0.337, 0.991, 1.87, 413.0, 1214.0, 221.0, 1
11.0, 337.0, 3707.0, 30.636, 0.175, 0.637, 2.2, 650.0, 2361.0, 296.0, 1
8.0, 74.0, 592.0, 9.25, 0.456, 0.887, 2.48, 270.0, 525.0, 109.0, 1
5.0, 43.0, 215.0, 8.6, 0.405, 0.981, 1.61, 87.0, 211.0, 54.0, 1
10.0, 249.0, 2490.0, 24.9, 0.462, 0.842, 3.53, 1151.0, 2097.0, 326.0, 1
12.0, 67.0, 804.0, 5.583, 0.376, 0.751, 2.99, 302.0, 604.0, 101.0, 1
9.0, 42.0, 378.0, 4.667, 0.452, 0.942, 2.85, 171.0, 356.0, 60.0, 1
7.0, 10.0, 70.0, 1.429, 0.286, 0.886, 1.82, 20.0, 62.0, 11.0, 1
10.0, 261.0, 2610.0, 26.1, 0.183, 0.515, 1.49, 477.0, 1343.0, 321.0, 1
7.0, 21.0, 147.0, 3.0, 0.313, 0.966, 1.48, 46.0, 142.0, 31.0, 1
7.0, 30.0, 210.0, 4.286, 0.295, 0.876, 1.77, 62.0, 184.0, 35.0, 1
5.0, 43.0, 215.0, 8.6, 0.233, 0.8, 1.35, 50.0, 172.0, 37.0, 1
6.0, 19.0, 114.0, 3.167, 0.254, 0.956, 1.16, 29.0, 109.0, 25.0, 1
7.0, 11.0, 77.0, 1.571, 0.364, 1.0, 1.33, 28.0, 77.0, 21.0, 1
9.0, 55.0, 495.0, 6.111, 0.259, 0.699, 1.47, 128.0, 346.0, 87.0, 1
7.0, 14.0, 98.0, 2.0, 0.337, 0.98, 1.83, 33.0, 96.0, 18.0, 1
6.0, 4.0, 24.0, 0.667, 0.458, 1.0, 2.2, 11.0, 24.0, 5.0, 1
9.0, 49.0, 441.0, 5.444, 0.222, 0.687, 1.27, 98.0, 303.0, 77.0, 1
7.0, 23.0, 161.0, 3.286, 0.342, 0.783, 1.45, 55.0, 126.0, 38.0, 1
7.0, 46.0, 322.0, 6.571, 0.354, 0.994, 1.46, 114.0, 320.0, 78.0, 1
5.0, 28.0, 140.0, 5.6, 0.321, 0.95, 1.45, 45.0, 133.0, 31.0, 1
9.0, 86.0, 774.0, 9.556, 0.211, 0.517, 1.29, 163.0, 400.0, 126.0, 1
9.0, 25.0, 225.0, 2.778, 0.249, 0.911, 1.51, 56.0, 205.0, 37.0, 1
9.0, 55.0, 495.0, 6.111, 0.255, 0.697, 1.38, 126.0, 345.0, 91.0, 1
7.0, 31.0, 217.0, 4.429, 0.304, 0.843, 1.32, 66.0, 183.0, 50.0, 1
8.0, 35.0, 280.0, 4.375, 0.443, 0.996, 2.14, 124.0, 279.0, 58.0, 1
8.0, 36.0, 288.0, 4.5, 0.458, 0.958, 2.06, 132.0, 276.0, 64.0, 1
8.0, 23.0, 184.0, 2.875, 0.337, 0.783, 1.94, 62.0, 144.0, 32.0, 1
8.0, 1.0, 8.0, 0.125, 1.0, 1.0, 8.0, 8.0, 8.0, 1.0, 4
6.0, 18.0, 108.0, 3.0, 0.537, 0.981, 2.64, 58.0, 106.0, 22.0, 1
10.0, 271.0, 2710.0, 27.1, 0.239, 0.615, 1.94, 647.0, 1668.0, 333.0, 1
8.0, 4.0, 32.0, 0.5, 0.469, 0.719, 5.0, 15.0, 23.0, 3.0, 1
8.0, 27.0, 216.0, 3.375, 0.435, 0.963, 2.14, 94.0, 208.0, 44.0, 1
11.0, 272.0, 2992.0, 24.727, 0.283, 0.703, 1.97, 847.0, 2103.0, 431.0, 1
10.0, 64.0, 640.0, 6.4, 0.189, 0.4, 2.12, 121.0, 256.0, 57.0, 1
10.0, 12.0, 120.0, 1.2, 0.4, 0.933, 2.29, 48.0, 112.0, 21.0, 1
12.0, 261.0, 3132.0, 21.75, 0.207, 0.564, 1.81, 649.0, 1768.0, 358.0, 1
8.0, 76.0, 608.0, 9.5, 0.314, 0.711, 1.87, 191.0, 432.0, 102.0, 1
7.0, 2.0, 14.0, 0.286, 0.714, 0.714, 10.0, 10.0, 10.0, 1.0, 1
10.0, 72.0, 720.0, 7.2, 0.292, 0.667, 1.81, 210.0, 480.0, 116.0, 1
10.0, 16.0, 160.0, 1.6, 0.444, 1.0, 2.22, 71.0, 160.0, 32.0, 1
10.0, 74.0, 740.0, 7.4, 0.303, 0.708, 2.17, 224.0, 524.0, 103.0, 1
10.0, 20.0, 200.0, 2.0, 0.32, 0.61, 2.13, 64.0, 122.0, 30.0, 1
10.0, 33.0, 330.0, 3.3, 0.342, 0.927, 1.66, 113.0, 306.0, 68.0, 1
