@relation unknow
@attribute mcg real [0.11, 1.0]
@attribute gvh real [0.13, 1.0]
@attribute alm real [0.21, 1.0]
@attribute mit real [0.0, 1.0]
@attribute erl real [0.5, 1.0]
@attribute pox real [0.0, 0.83]
@attribute vac real [0.0, 0.73]
@attribute nuc real [0.0, 1.0]
@attribute class {MIT, NUC, CYT, ME1, ME2, ME3, EXC, VAC, POX, ERL}
@inputs mcg, gvh, alm, mit, erl, pox, vac, nuc
@outputs class
@data
0.58, 0.44, 0.57, 0.13, 0.5, 0.0, 0.54, 0.22, NUC
0.5, 0.54, 0.48, 0.65, 0.5, 0.0, 0.53, 0.22, MIT
0.55, 0.5, 0.66, 0.36, 0.5, 0.0, 0.49, 0.22, MIT
0.6, 0.4, 0.52, 0.46, 0.5, 0.0, 0.53, 0.22, MIT
0.43, 0.44, 0.48, 0.22, 0.5, 0.0, 0.51, 0.22, CYT
0.73, 0.63, 0.42, 0.3, 0.5, 0.0, 0.49, 0.22, CYT
0.51, 0.51, 0.52, 0.51, 0.5, 0.0, 0.54, 0.22, MIT
0.41, 0.54, 0.39, 0.2, 0.5, 0.0, 0.51, 0.22, ME3
0.37, 0.36, 0.56, 0.18, 0.5, 0.0, 0.48, 0.26, VAC
0.45, 0.58, 0.48, 0.67, 0.5, 0.0, 0.52, 0.22, MIT
0.37, 0.32, 0.47, 0.18, 0.5, 0.0, 0.45, 0.25, NUC
0.48, 0.43, 0.51, 0.32, 0.5, 0.0, 0.52, 0.43, NUC
0.41, 0.46, 0.59, 0.19, 0.5, 0.0, 0.58, 0.27, NUC
0.54, 0.48, 0.44, 0.08, 0.5, 0.0, 0.52, 0.27, CYT
0.34, 0.46, 0.57, 0.09, 0.5, 0.0, 0.55, 0.22, CYT
0.49, 0.42, 0.56, 0.55, 0.5, 0.0, 0.42, 0.25, MIT
0.5, 0.54, 0.53, 0.54, 0.5, 0.0, 0.51, 0.27, MIT
0.48, 0.45, 0.55, 0.5, 0.5, 0.0, 0.53, 0.22, MIT
0.51, 0.54, 0.6, 0.57, 0.5, 0.0, 0.58, 0.22, MIT
0.67, 0.62, 0.4, 0.43, 0.5, 0.83, 0.5, 0.22, MIT
0.64, 0.57, 0.57, 0.27, 0.5, 0.0, 0.37, 0.22, CYT
0.64, 0.62, 0.29, 0.28, 0.5, 0.0, 0.51, 0.22, MIT
0.5, 0.64, 0.57, 0.15, 0.5, 0.0, 0.47, 0.22, CYT
0.62, 0.51, 0.52, 0.42, 0.5, 0.0, 0.54, 0.27, NUC
0.29, 0.32, 0.58, 0.15, 0.5, 0.0, 0.5, 0.3, CYT
0.47, 0.32, 0.64, 0.3, 0.5, 0.0, 0.63, 0.22, NUC
0.64, 0.6, 0.57, 0.19, 0.5, 0.0, 0.43, 0.22, NUC
0.36, 0.68, 0.46, 0.16, 0.5, 0.0, 0.53, 0.28, NUC
0.4, 0.42, 0.71, 0.21, 0.5, 0.0, 0.54, 0.32, CYT
0.4, 0.42, 0.71, 0.21, 0.5, 0.0, 0.54, 0.32, CYT
0.26, 0.5, 0.33, 0.28, 0.5, 0.0, 0.51, 0.22, ME3
0.21, 0.41, 0.55, 0.11, 0.5, 0.0, 0.5, 0.27, CYT
0.38, 0.68, 0.44, 0.45, 0.5, 0.0, 0.53, 0.22, MIT
0.39, 0.4, 0.53, 0.67, 0.5, 0.0, 0.47, 0.22, CYT
0.37, 0.42, 0.51, 0.11, 0.5, 0.0, 0.57, 0.22, CYT
0.75, 0.7, 0.38, 0.27, 0.5, 0.0, 0.49, 0.22, ME1
0.57, 0.57, 0.44, 0.37, 0.5, 0.0, 0.52, 0.25, MIT
0.55, 0.45, 0.45, 0.54, 0.5, 0.0, 0.5, 0.22, MIT
