@relation unknow
@attribute mcg real [0.11, 1.0]
@attribute gvh real [0.13, 1.0]
@attribute alm real [0.21, 1.0]
@attribute mit real [0.0, 1.0]
@attribute erl real [0.5, 1.0]
@attribute pox real [0.0, 0.83]
@attribute vac real [0.0, 0.73]
@attribute nuc real [0.0, 1.0]
@attribute class {MIT, NUC, CYT, ME1, ME2, ME3, EXC, VAC, POX, ERL}
@inputs mcg, gvh, alm, mit, erl, pox, vac, nuc
@outputs class
@data
0.4, 0.42, 0.57, 0.35, 0.5, 0.0, 0.53, 0.25, CYT
0.46, 0.44, 0.52, 0.11, 0.5, 0.0, 0.5, 0.22, CYT
0.58, 0.47, 0.54, 0.11, 0.5, 0.0, 0.51, 0.26, NUC
0.5, 0.34, 0.55, 0.21, 0.5, 0.0, 0.49, 0.22, NUC
0.61, 0.6, 0.55, 0.21, 0.5, 0.0, 0.5, 0.25, NUC
0.45, 0.4, 0.5, 0.16, 0.5, 0.0, 0.5, 0.22, CYT
0.51, 0.51, 0.43, 0.87, 0.5, 0.0, 0.52, 0.22, MIT
0.33, 0.55, 0.51, 0.43, 0.5, 0.0, 0.51, 0.22, NUC
0.78, 0.74, 0.42, 0.26, 0.5, 0.0, 0.43, 0.22, ME1
0.74, 0.67, 0.47, 0.34, 0.5, 0.0, 0.42, 0.22, EXC
0.57, 0.53, 0.53, 0.34, 0.5, 0.0, 0.53, 0.22, MIT
0.74, 0.75, 0.58, 0.47, 0.5, 0.0, 0.4, 0.35, ME2
0.74, 0.57, 0.51, 0.28, 0.5, 0.0, 0.58, 0.22, VAC
0.41, 0.53, 0.45, 0.14, 0.5, 0.0, 0.52, 0.66, ME3
0.45, 0.46, 0.55, 0.43, 0.5, 0.0, 0.55, 0.38, NUC
0.43, 0.35, 0.52, 0.52, 0.5, 0.0, 0.54, 0.22, MIT
0.6, 0.47, 0.45, 0.22, 0.5, 0.0, 0.51, 0.29, CYT
0.47, 0.39, 0.59, 0.15, 0.5, 0.0, 0.57, 0.22, CYT
0.45, 0.55, 0.54, 0.66, 0.5, 0.0, 0.47, 0.22, MIT
0.39, 0.44, 0.35, 0.16, 0.5, 0.0, 0.55, 0.22, ME3
0.38, 0.5, 0.37, 0.26, 0.5, 0.0, 0.43, 0.22, ME3
0.61, 0.72, 0.39, 0.33, 0.5, 0.0, 0.58, 0.22, MIT
0.54, 0.55, 0.34, 0.31, 0.5, 0.0, 0.54, 0.22, ME3
0.58, 0.62, 0.54, 0.17, 0.5, 0.0, 0.48, 0.22, MIT
0.53, 0.51, 0.55, 0.05, 0.5, 0.0, 0.45, 0.25, NUC
0.4, 0.62, 0.52, 0.31, 0.5, 0.0, 0.49, 0.31, CYT
0.6, 0.5, 0.57, 0.25, 0.5, 0.0, 0.41, 0.26, CYT
0.58, 0.48, 0.51, 0.47, 0.5, 0.0, 0.55, 0.22, NUC
0.43, 0.57, 0.53, 0.16, 0.5, 0.0, 0.54, 0.22, CYT
0.59, 0.48, 0.5, 0.14, 0.5, 0.0, 0.45, 0.25, CYT
0.26, 0.36, 0.47, 0.34, 0.5, 0.0, 0.53, 0.72, NUC
0.44, 0.39, 0.53, 0.14, 0.5, 0.0, 0.54, 0.44, CYT
0.42, 0.31, 0.5, 0.15, 0.5, 0.0, 0.53, 0.22, NUC
0.49, 0.47, 0.53, 0.16, 0.5, 0.0, 0.48, 0.27, NUC
0.71, 0.59, 0.48, 0.43, 0.5, 0.0, 0.59, 0.22, MIT
0.57, 0.51, 0.53, 0.18, 0.5, 0.0, 0.56, 0.25, NUC
0.35, 0.45, 0.43, 0.11, 0.5, 0.0, 0.56, 0.22, ME3
0.42, 0.42, 0.42, 0.2, 0.5, 0.0, 0.49, 0.22, ME3
0.26, 0.44, 0.3, 0.11, 0.5, 0.0, 0.51, 0.47, ME3
0.31, 0.44, 0.53, 0.23, 0.5, 0.0, 0.51, 0.32, NUC
0.66, 0.45, 0.5, 0.23, 0.5, 0.0, 0.49, 0.22, CYT
0.44, 0.38, 0.48, 0.32, 0.5, 0.83, 0.53, 0.22, POX
0.31, 0.31, 0.56, 0.33, 0.5, 0.0, 0.52, 0.33, NUC
0.31, 0.55, 0.52, 0.17, 0.5, 0.0, 0.52, 0.22, CYT
0.32, 0.57, 0.5, 0.15, 0.5, 0.0, 0.53, 0.22, CYT
0.44, 0.42, 0.6, 0.21, 0.5, 0.0, 0.57, 0.22, CYT
0.52, 0.51, 0.51, 0.54, 0.5, 0.0, 0.55, 0.27, MIT
0.59, 0.61, 0.34, 0.22, 0.5, 0.0, 0.51, 0.22, MIT
0.5, 0.52, 0.6, 0.51, 0.5, 0.0, 0.48, 0.22, MIT
0.5, 0.4, 0.56, 0.7, 0.5, 0.0, 0.5, 0.22, MIT
0.35, 0.66, 0.49, 0.21, 0.5, 0.0, 0.54, 0.25, CYT
0.78, 0.74, 0.58, 0.25, 1.0, 0.0, 0.53, 0.22, ERL
0.58, 0.56, 0.45, 0.12, 0.5, 0.0, 0.51, 0.22, NUC
0.69, 0.61, 0.38, 0.27, 0.5, 0.0, 0.52, 0.22, ME2
0.46, 0.54, 0.71, 0.15, 0.5, 0.0, 0.59, 0.22, MIT
0.35, 0.4, 0.59, 0.22, 0.5, 0.0, 0.47, 0.37, NUC
0.36, 0.24, 0.49, 0.16, 0.5, 0.0, 0.51, 0.22, NUC
0.54, 0.42, 0.41, 0.16, 0.5, 0.0, 0.52, 0.22, ME2
0.51, 0.55, 0.35, 0.16, 0.5, 0.0, 0.51, 0.47, ME3
0.56, 0.52, 0.55, 0.19, 0.5, 0.0, 0.54, 0.22, CYT
