@relation unknow
@attribute mcg real [0.11, 1.0]
@attribute gvh real [0.13, 1.0]
@attribute alm real [0.21, 1.0]
@attribute mit real [0.0, 1.0]
@attribute erl real [0.5, 1.0]
@attribute pox real [0.0, 0.83]
@attribute vac real [0.0, 0.73]
@attribute nuc real [0.0, 1.0]
@attribute class {MIT, NUC, CYT, ME1, ME2, ME3, EXC, VAC, POX, ERL}
@inputs mcg, gvh, alm, mit, erl, pox, vac, nuc
@outputs class
@data
0.48, 0.45, 0.59, 0.2, 0.5, 0.0, 0.58, 0.34, NUC
0.4, 0.39, 0.6, 0.15, 0.5, 0.0, 0.58, 0.3, CYT
0.43, 0.39, 0.54, 0.21, 0.5, 0.0, 0.53, 0.27, NUC
0.53, 0.54, 0.43, 0.1, 0.5, 0.0, 0.57, 0.32, NUC
0.66, 0.62, 0.49, 0.1, 0.5, 0.0, 0.49, 0.22, CYT
0.38, 0.49, 0.53, 0.19, 0.5, 0.0, 0.5, 0.22, CYT
0.6, 0.5, 0.44, 0.61, 0.5, 0.0, 0.47, 0.22, MIT
0.8, 0.63, 0.45, 0.29, 0.5, 0.0, 0.51, 0.22, EXC
0.42, 0.47, 0.52, 0.41, 0.5, 0.0, 0.53, 0.32, CYT
0.4, 0.45, 0.56, 0.2, 0.5, 0.0, 0.45, 0.22, CYT
0.33, 0.43, 0.64, 0.16, 0.5, 0.0, 0.52, 0.52, NUC
0.49, 0.61, 0.49, 0.25, 0.5, 0.0, 0.5, 0.28, CYT
0.69, 0.7, 0.52, 0.36, 0.5, 0.0, 0.46, 0.22, EXC
0.78, 0.75, 0.4, 0.28, 0.5, 0.0, 0.53, 0.22, MIT
0.47, 0.39, 0.55, 0.24, 0.5, 0.0, 0.47, 0.22, CYT
0.65, 0.65, 0.52, 0.16, 0.5, 0.0, 0.6, 0.22, CYT
0.45, 0.41, 0.5, 0.46, 0.5, 0.5, 0.5, 0.27, POX
0.44, 0.52, 0.41, 0.23, 0.5, 0.0, 0.51, 0.22, NUC
0.3, 0.32, 0.57, 0.19, 0.5, 0.0, 0.48, 0.55, NUC
0.47, 0.47, 0.57, 0.48, 0.5, 0.0, 0.48, 0.22, MIT
0.55, 0.53, 0.55, 0.46, 0.5, 0.0, 0.52, 0.22, MIT
0.67, 0.62, 0.54, 0.43, 0.5, 0.0, 0.53, 0.22, MIT
0.4, 0.38, 0.53, 0.16, 0.5, 0.0, 0.52, 0.27, NUC
0.46, 0.71, 0.48, 0.53, 0.5, 0.0, 0.53, 0.22, MIT
0.35, 0.58, 0.54, 0.16, 0.5, 0.0, 0.51, 0.22, NUC
0.39, 0.47, 0.56, 0.16, 0.5, 0.0, 0.47, 0.22, CYT
0.42, 0.43, 0.56, 0.1, 0.5, 0.0, 0.49, 0.22, CYT
0.54, 0.49, 0.49, 0.2, 0.5, 0.0, 0.52, 0.22, CYT
