@relation unknow
@attribute mcg real [0.11, 1.0]
@attribute gvh real [0.13, 1.0]
@attribute alm real [0.21, 1.0]
@attribute mit real [0.0, 1.0]
@attribute erl real [0.5, 1.0]
@attribute pox real [0.0, 0.83]
@attribute vac real [0.0, 0.73]
@attribute nuc real [0.0, 1.0]
@attribute class {MIT, NUC, CYT, ME1, ME2, ME3, EXC, VAC, POX, ERL}
@inputs mcg, gvh, alm, mit, erl, pox, vac, nuc
@outputs class
@data
0.58, 0.61, 0.47, 0.13, 0.5, 0.0, 0.48, 0.22, MIT
0.43, 0.67, 0.48, 0.27, 0.5, 0.0, 0.53, 0.22, MIT
0.64, 0.62, 0.49, 0.15, 0.5, 0.0, 0.53, 0.22, MIT
0.42, 0.44, 0.48, 0.54, 0.5, 0.0, 0.48, 0.22, MIT
0.42, 0.37, 0.59, 0.2, 0.5, 0.0, 0.52, 0.29, NUC
0.66, 0.55, 0.45, 0.19, 0.5, 0.0, 0.46, 0.22, MIT
0.43, 0.53, 0.52, 0.13, 0.5, 0.0, 0.55, 0.22, CYT
0.46, 0.53, 0.52, 0.15, 0.5, 0.0, 0.58, 0.22, CYT
0.57, 0.47, 0.6, 0.18, 0.5, 0.0, 0.51, 0.22, CYT
0.38, 0.61, 0.61, 0.12, 0.5, 0.0, 0.53, 0.47, CYT
0.4, 0.45, 0.57, 0.18, 0.5, 0.0, 0.56, 0.26, CYT
0.59, 0.53, 0.43, 0.44, 0.5, 0.0, 0.5, 0.22, MIT
0.86, 0.68, 0.39, 0.24, 0.5, 0.0, 0.54, 0.22, ME2
0.79, 0.57, 0.41, 0.28, 0.5, 0.0, 0.59, 0.22, ME2
0.42, 0.24, 0.34, 0.16, 0.5, 0.0, 0.5, 0.22, ME3
0.48, 0.39, 0.51, 0.21, 0.5, 0.0, 0.52, 0.28, CYT
0.64, 0.59, 0.56, 0.23, 0.5, 0.0, 0.46, 0.22, CYT
0.64, 0.56, 0.56, 0.22, 0.5, 0.0, 0.45, 0.22, CYT
0.53, 0.44, 0.51, 0.33, 0.5, 0.0, 0.55, 0.22, CYT
0.48, 0.54, 0.55, 0.12, 0.5, 0.0, 0.51, 0.22, CYT
0.81, 0.85, 0.47, 0.37, 0.5, 0.0, 0.56, 0.22, EXC
0.46, 0.49, 0.58, 0.23, 0.5, 0.0, 0.44, 0.22, MIT
0.5, 0.58, 0.46, 0.46, 0.5, 0.0, 0.46, 0.22, MIT
0.28, 0.58, 0.21, 0.13, 0.5, 0.0, 0.51, 0.22, ME3
0.5, 0.52, 0.59, 0.3, 0.5, 0.0, 0.51, 0.35, NUC
0.46, 0.38, 0.47, 0.22, 0.5, 0.0, 0.52, 0.27, MIT
0.47, 0.52, 0.5, 0.4, 0.5, 0.0, 0.41, 0.22, CYT
0.44, 0.59, 0.36, 0.16, 0.5, 0.0, 0.52, 0.22, ME3
0.3, 0.56, 0.55, 0.18, 0.5, 0.0, 0.5, 0.22, CYT
0.45, 0.51, 0.5, 0.16, 0.5, 0.0, 0.52, 1.0, NUC
0.45, 0.45, 0.5, 0.6, 0.5, 0.0, 0.49, 0.22, MIT
0.35, 0.52, 0.48, 0.22, 0.5, 0.0, 0.26, 0.22, MIT
0.47, 0.41, 0.66, 0.26, 0.5, 0.0, 0.53, 0.22, MIT
0.39, 0.58, 0.5, 0.26, 0.5, 0.0, 0.54, 0.59, ME3
0.39, 0.55, 0.48, 0.31, 0.5, 0.0, 0.54, 0.29, CYT
0.43, 0.57, 0.53, 0.53, 0.5, 0.0, 0.53, 0.25, CYT
0.72, 0.62, 0.34, 0.29, 0.5, 0.0, 0.56, 0.28, MIT
0.46, 0.43, 0.38, 0.33, 0.5, 0.0, 0.48, 0.28, MIT
0.52, 0.77, 0.38, 0.34, 0.5, 0.0, 0.51, 0.22, MIT
0.53, 0.51, 0.46, 0.28, 0.5, 0.0, 0.48, 0.22, CYT
0.52, 0.4, 0.6, 0.12, 0.5, 0.0, 0.55, 0.22, CYT
0.47, 0.46, 0.59, 0.49, 0.5, 0.0, 0.56, 0.22, MIT
0.34, 0.36, 0.54, 0.11, 0.5, 0.0, 0.36, 0.21, NUC
0.37, 0.53, 0.6, 0.19, 0.5, 0.5, 0.42, 0.22, POX
0.36, 0.37, 0.33, 0.14, 0.5, 0.0, 0.57, 0.31, ME3
0.41, 0.51, 0.58, 0.15, 0.5, 0.0, 0.45, 0.27, CYT
0.4, 0.56, 0.48, 0.14, 0.5, 0.0, 0.47, 0.22, MIT
0.2, 0.26, 0.52, 0.14, 0.5, 0.0, 0.53, 0.44, CYT
0.51, 0.53, 0.55, 0.14, 0.5, 0.0, 0.51, 0.22, CYT
0.44, 0.53, 0.52, 0.23, 0.5, 0.83, 0.51, 0.22, POX
0.27, 0.36, 0.6, 0.33, 0.5, 0.0, 0.37, 0.31, NUC
0.55, 0.54, 0.56, 0.22, 0.5, 0.0, 0.5, 0.37, NUC
0.6, 0.56, 0.47, 0.2, 0.5, 0.0, 0.5, 0.38, NUC
0.61, 0.3, 0.59, 0.12, 0.5, 0.0, 0.49, 0.27, NUC
0.37, 0.53, 0.46, 0.23, 0.5, 0.0, 0.47, 0.22, NUC
0.78, 0.7, 0.32, 0.23, 0.5, 0.0, 0.53, 0.22, ME1
0.55, 0.46, 0.53, 0.11, 0.5, 0.0, 0.52, 0.48, CYT
0.71, 0.56, 0.39, 0.27, 0.5, 0.0, 0.52, 0.22, ME2
0.54, 0.65, 0.49, 0.34, 0.5, 0.0, 0.52, 0.22, CYT
0.63, 0.61, 0.41, 0.22, 0.5, 0.0, 0.51, 0.22, ME3
0.58, 0.53, 0.38, 0.18, 0.5, 0.0, 0.52, 0.22, ME3
0.36, 0.46, 0.43, 0.19, 0.5, 0.0, 0.48, 0.22, ME3
0.73, 0.55, 0.41, 0.16, 0.5, 0.0, 0.46, 0.22, ME2
0.35, 0.6, 0.47, 0.13, 0.5, 0.0, 0.52, 0.43, NUC
0.35, 0.46, 0.49, 0.15, 1.0, 0.0, 0.55, 0.35, CYT
0.58, 0.6, 0.51, 0.24, 0.5, 0.0, 0.53, 0.22, CYT
