@relation unknow
@attribute a1 integer [27, 126]
@attribute a2 integer [-4821, 5075]
@attribute a3 integer [21, 149]
@attribute a4 integer [-3939, 3830]
@attribute a5 integer [-188, 436]
@attribute a6 integer [-13839, 13148]
@attribute a7 integer [-48, 105]
@attribute a8 integer [-353, 270]
@attribute a9 integer [-356, 266]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9
@outputs class
@data
50, -4, 83, 0, 50, 0, 33, 34, 2, 1
48, 1, 81, -1, 46, 0, 33, 34, 2, 1
43, 0, 81, 0, 42, -10, 37, 39, 2, 1
44, 4, 82, -7, 44, 1, 38, 38, 0, 1
62, 0, 109, 0, 62, 23, 48, 47, 0, 1
55, 0, 82, 0, -38, -6, 26, 121, 94, 4
56, 0, 89, 0, 56, 0, 33, 32, 0, 1
37, 0, 81, 5, 34, 1, 43, 47, 4, 1
54, 1, 82, 0, 54, 0, 28, 28, 0, 1
37, 0, 106, 0, 24, -13, 68, 82, 14, 1
37, 0, 95, 0, 10, 14, 58, 84, 26, 1
37, 0, 77, 0, 38, 4, 39, 38, 0, 1
45, 0, 93, 0, 44, -4, 48, 50, 2, 1
49, 0, 88, 0, 46, -6, 39, 41, 2, 1
37, 0, 104, -1, 16, -5, 67, 88, 22, 1
37, 0, 78, 0, 2, 11, 42, 75, 34, 1
81, -5, 84, 0, -22, -6, 4, 108, 104, 5
37, 0, 81, 3, 34, 1, 43, 47, 4, 1
37, 0, 80, 0, 10, 29, 43, 70, 26, 1
52, -30, 79, 0, 0, 0, 27, 79, 52, 3
43, 5, 90, 0, 42, 0, 47, 49, 2, 1
43, 0, 78, 0, 42, -1, 35, 37, 2, 1
45, 1, 76, -2, 44, -4, 31, 32, 0, 1
37, 0, 77, -1, 20, -4, 40, 56, 16, 1
55, 0, 77, 0, 0, -30, 22, 77, 56, 4
103, -1, 104, -4, 72, 10, 1, 31, 30, 5
55, 0, 77, 0, -24, -28, 21, 103, 82, 4
37, 0, 104, 0, 18, 21, 67, 86, 18, 1
56, 0, 95, -3, 42, 0, 40, 54, 14, 4
45, 0, 88, 0, 44, -6, 42, 44, 2, 1
106, 0, 108, -3, 70, -4, 1, 38, 36, 5
37, 0, 83, 0, 30, 24, 46, 52, 6, 1
37, 0, 80, 4, 28, 0, 43, 52, 8, 1
55, 0, 77, -6, -10, 0, 21, 87, 66, 4
38, 1, 92, 0, 28, 20, 54, 64, 10, 1
37, 0, 77, 0, 38, 17, 39, 38, 0, 1
41, 0, 106, 0, 38, 0, 65, 67, 2, 1
45, 2, 79, 0, 46, 29, 33, 32, 0, 1
37, 0, 77, 0, 24, -16, 40, 54, 14, 1
55, 0, 97, 0, 52, 21, 41, 45, 4, 4
105, 1, 106, 0, 70, -3, 1, 36, 34, 5
37, 0, 76, 0, 26, 17, 40, 50, 10, 1
56, 1, 86, 0, 56, 8, 30, 29, 0, 1
56, -2, 95, 0, 44, 1, 40, 51, 12, 4
