@relation unknow
@attribute a1 integer [27, 126]
@attribute a2 integer [-4821, 5075]
@attribute a3 integer [21, 149]
@attribute a4 integer [-3939, 3830]
@attribute a5 integer [-188, 436]
@attribute a6 integer [-13839, 13148]
@attribute a7 integer [-48, 105]
@attribute a8 integer [-353, 270]
@attribute a9 integer [-356, 266]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9
@outputs class
@data
49, 0, 79, 0, 46, -5, 30, 32, 2, 1
41, 1, 86, 3, 42, 6, 45, 45, 0, 1
43, 0, 77, 10, 42, -34, 34, 36, 2, 1
66, 0, 109, 0, 68, 4, 43, 42, 0, 1
54, -2, 78, -1, 54, 0, 24, 24, 0, 1
53, 1, 78, 0, 52, -7, 25, 26, 2, 1
51, -2, 87, 0, 50, -13, 36, 38, 2, 1
42, -1, 87, 0, 42, 0, 45, 46, 2, 1
44, 0, 86, -1, 44, 8, 42, 42, 0, 1
40, 0, 80, 0, 38, 2, 40, 41, 2, 1
45, 0, 86, 7, 44, 0, 42, 42, 0, 1
39, -5, 76, -1, -2, 0, 37, 79, 42, 1
38, 0, 82, 0, 38, 11, 44, 43, 0, 1
39, 0, 106, 6, 38, 0, 68, 67, 0, 1
48, -4, 84, 0, 46, -1, 36, 38, 2, 1
44, 0, 85, 0, 44, 16, 41, 41, 0, 1
53, 0, 108, 0, 52, -7, 55, 56, 2, 1
39, 0, 76, -2, 38, 0, 36, 37, 0, 1
58, 2, 86, 0, 56, 0, 28, 29, 2, 1
46, 1, 86, 0, 44, -12, 41, 42, 2, 1
37, 0, 106, 0, 34, -1, 69, 72, 4, 1
40, 4, 90, 0, 38, 0, 49, 51, 2, 1
37, 0, 83, 0, 8, 19, 47, 75, 28, 1
45, 0, 81, 0, 46, 19, 36, 35, 0, 1
42, 0, 86, -5, 42, 0, 45, 45, 0, 1
37, 0, 76, 0, 20, 17, 40, 55, 16, 1
48, 5, 88, 0, 46, 0, 40, 41, 2, 1
51, -4, 84, 0, 50, -4, 34, 35, 2, 1
53, 0, 104, 1, 54, 4, 51, 49, 0, 1
37, 0, 78, 0, 16, 11, 41, 63, 22, 1
45, -1, 77, -5, 44, -8, 32, 33, 0, 1
55, 0, 77, 0, -10, -25, 21, 87, 66, 4
