@relation unknow
@attribute a1 integer [27, 126]
@attribute a2 integer [-4821, 5075]
@attribute a3 integer [21, 149]
@attribute a4 integer [-3939, 3830]
@attribute a5 integer [-188, 436]
@attribute a6 integer [-13839, 13148]
@attribute a7 integer [-48, 105]
@attribute a8 integer [-353, 270]
@attribute a9 integer [-356, 266]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9
@outputs class
@data
37, 0, 79, 0, 26, -4, 42, 53, 12, 1
44, 0, 79, -2, 44, 0, 35, 35, 0, 1
49, -4, 107, -1, 50, 0, 58, 58, 0, 1
37, 0, 104, -2, 16, -14, 67, 89, 22, 1
49, -1, 86, 0, 50, 4, 37, 37, 0, 1
37, 0, 76, 0, 34, 19, 39, 43, 4, 1
49, 0, 88, 1, 50, 19, 40, 39, 0, 1
55, 0, 83, 0, -28, 1, 27, 111, 84, 4
43, 0, 81, -5, 42, -1, 37, 39, 2, 1
37, 0, 83, 0, 0, 3, 46, 83, 36, 1
46, 0, 81, 1, 46, 8, 35, 35, 0, 1
44, 2, 88, 0, 44, 12, 44, 44, 0, 1
38, 1, 76, 0, 38, 11, 38, 37, 0, 1
50, 0, 78, -6, 50, 0, 29, 29, 0, 1
46, 0, 100, 0, 44, -11, 54, 56, 2, 1
57, 0, 88, 0, 56, 0, 31, 31, 0, 1
37, -1, 79, -3, 20, -7, 42, 58, 16, 1
38, -5, 97, 0, 38, 0, 59, 59, 0, 1
41, 0, 77, 0, 38, -1, 37, 39, 2, 1
55, 0, 95, -7, 42, -3, 40, 54, 14, 4
44, -8, 88, 0, 44, 0, 44, 44, 0, 1
55, 0, 79, 0, 18, -16, 23, 61, 38, 4
55, -3, 90, 0, 54, -12, 34, 35, 2, 1
41, 0, 86, 3, 42, 20, 46, 45, 0, 1
37, 0, 77, 0, 26, 0, 41, 52, 10, 1
42, 2, 77, 8, 42, 0, 35, 36, 0, 1
46, 0, 91, 5, 46, 0, 45, 44, 0, 1
37, 0, 78, 0, 2, -13, 41, 75, 34, 1
37, 0, 108, 2, 36, 0, 70, 71, 2, 1
51, -2, 77, 0, 50, -13, 26, 28, 2, 1
39, -2, 79, 0, 38, 0, 40, 41, 0, 1
37, 0, 77, 0, 0, 0, 41, 77, 36, 1
108, 0, 108, -6, 72, 7, 1, 36, 36, 5
37, 0, 84, 0, 26, 9, 47, 58, 10, 1
44, 0, 84, 0, 44, 4, 40, 41, 0, 1
37, 0, 104, 0, 16, -16, 67, 89, 22, 1
41, -2, 86, 0, 42, 11, 46, 45, 0, 1
53, 2, 79, 0, 54, 28, 26, 24, 0, 1
55, 0, 77, 0, 18, 27, 22, 59, 38, 4
52, -3, 86, 0, 52, 0, 34, 34, 0, 1
45, 0, 81, 0, 46, 27, 36, 35, 0, 1
37, 0, 79, 0, 8, 8, 42, 71, 28, 1
41, 1, 84, 0, 38, -22, 43, 45, 2, 1
53, -2, 83, 0, 52, -19, 30, 32, 2, 1
41, 0, 89, 0, 38, -23, 48, 50, 2, 1
53, 0, 79, 0, 52, -11, 26, 27, 2, 1
44, 3, 76, -1, 44, 1, 32, 32, 0, 1
52, 0, 88, 0, 54, 31, 35, 33, 0, 1
49, -2, 78, 0, 50, 12, 29, 29, 0, 1
55, -1, 96, -3, 42, -5, 41, 55, 14, 4
56, 3, 79, 0, 56, 3, 23, 23, 0, 1
55, 0, 93, 8, 24, 13, 37, 70, 32, 4
37, -27, 106, 0, 34, 28, 69, 72, 4, 1
55, 0, 77, 0, -18, 19, 21, 95, 74, 4
51, 0, 85, 0, 50, -28, 34, 36, 2, 1
55, 0, 79, 0, 20, -2, 23, 58, 34, 4
44, 3, 107, 0, 44, 1, 63, 63, 0, 1
56, 0, 77, 0, 46, 1, 22, 31, 10, 4
51, 5, 77, 0, 50, 0, 27, 28, 2, 1
53, 0, 86, 0, 52, -6, 33, 35, 2, 1
55, 0, 83, -1, 54, 0, 28, 29, 2, 1
49, 0, 81, 0, 50, -4, 32, 32, 0, 1
44, 3, 87, -4, 44, 2, 43, 43, 0, 1
82, 0, 86, 0, -12, -9, 3, 99, 96, 5
50, -1, 87, 0, 50, 0, 37, 38, 2, 1
37, 0, 75, 0, 20, 9, 38, 54, 16, 1
39, -4, 97, 0, 38, 0, 58, 59, 0, 1
45, 5, 79, 0, 44, -4, 33, 35, 2, 1
46, 0, 82, 0, 44, -14, 36, 38, 2, 1
46, 0, 88, 1, 46, 3, 42, 41, 0, 1
37, 0, 107, 0, 30, 13, 70, 76, 6, 1
37, 0, 97, 0, 20, -14, 60, 77, 16, 1
46, 0, 77, 6, 46, 0, 31, 31, 0, 1
37, 0, 75, 0, 26, 30, 38, 49, 12, 1
41, 0, 106, 0, 42, 1, 65, 65, 0, 1
50, 3, 84, 0, 50, 0, 35, 35, 0, 1
49, 1, 77, 0, 50, 18, 28, 28, 0, 1
56, 0, 81, 0, 56, 6, 25, 24, 0, 1
38, 0, 76, 0, 38, 2, 38, 37, 0, 1
38, 1, 96, 0, 38, 6, 58, 57, 0, 1
37, 0, 79, 0, 36, -7, 41, 43, 2, 1
42, -1, 86, -4, 42, -6, 44, 45, 2, 1
51, 3, 78, 0, 52, 13, 27, 26, 0, 1
45, 0, 79, -1, 44, -13, 33, 35, 2, 1
56, 2, 97, 0, 42, -10, 40, 55, 14, 4
40, 0, 85, -1, 38, 0, 45, 46, 2, 1
51, 0, 88, 0, 52, 22, 37, 36, 0, 1
37, 0, 78, 0, 16, 4, 42, 63, 22, 1
37, 0, 80, 0, 10, 23, 43, 70, 26, 1
51, -4, 83, 0, 50, -6, 32, 34, 2, 1
41, -2, 83, 0, 42, 6, 42, 41, 0, 1
37, 0, 77, 0, 36, 5, 39, 41, 2, 1
55, 0, 79, 0, 6, 11, 23, 74, 50, 4
37, 0, 79, 0, 18, -13, 43, 61, 18, 1
51, 0, 107, -2, 50, 0, 56, 58, 2, 1
37, 0, 84, 0, 30, 19, 47, 53, 6, 1
81, -5, 86, 0, -22, 0, 4, 109, 104, 5
48, 2, 81, -1, 46, 0, 33, 34, 2, 1
55, 0, 92, 0, -4, -18, 36, 97, 60, 4
56, 0, 96, 0, 38, -15, 40, 57, 18, 4
55, 0, 79, -5, 20, 0, 23, 58, 34, 4
41, 0, 86, -1, 42, 9, 45, 44, 0, 1
38, 2, 76, 0, 38, 2, 38, 37, 0, 1
48, 0, 88, -3, 46, -7, 40, 42, 2, 1
84, 0, 88, 0, -2, -19, 3, 90, 88, 5
82, 0, 87, 1, -40, 4, 5, 128, 124, 5
41, 0, 81, -5, 42, 0, 40, 40, 0, 1
37, 0, 76, -2, 34, 0, 40, 43, 2, 1
101, 0, 102, 0, 72, 15, 1, 29, 28, 5
43, 0, 86, -5, 42, 0, 44, 45, 2, 1
43, 0, 77, 0, 44, 25, 34, 34, 0, 1
85, 0, 88, 4, 6, 0, 3, 83, 80, 5
56, 0, 76, 0, -12, -20, 20, 89, 68, 4
37, 0, 79, 0, 36, 11, 43, 43, 0, 1
46, 3, 81, 0, 46, 5, 35, 34, 0, 1
53, -2, 88, 0, 54, 3, 34, 33, 0, 1
55, 0, 93, 0, 42, -26, 37, 51, 14, 4
42, 0, 79, 6, 42, 0, 37, 38, 2, 1
55, 0, 95, 0, 44, 24, 40, 51, 12, 4
49, 1, 88, 0, 50, 29, 39, 39, 0, 1
43, -5, 109, 0, 42, 0, 66, 67, 2, 1
56, 0, 77, 0, 46, -4, 22, 31, 10, 4
36, -5, 76, 0, 36, 0, 40, 40, 0, 1
55, 0, 82, 0, -36, -9, 26, 118, 92, 4
37, 0, 101, 6, 28, -19, 64, 73, 8, 1
56, 0, 79, 0, 54, -13, 23, 24, 2, 1
37, 0, 78, 0, 8, -16, 42, 70, 28, 1
37, 0, 82, 0, 34, -14, 45, 48, 2, 1
37, 0, 82, 0, 36, 7, 45, 46, 0, 1
81, 0, 86, 6, -40, 6, 5, 127, 122, 5
47, 0, 86, 1, 46, 0, 40, 40, 0, 1
37, -5, 97, 0, 34, 0, 60, 64, 4, 1
37, 0, 100, 0, 30, -30, 64, 69, 6, 1
42, 0, 78, -2, 42, 0, 37, 37, 0, 1
56, 2, 78, 0, 16, -10, 22, 63, 40, 4
41, 0, 100, 0, 38, -2, 59, 61, 2, 1
56, 0, 76, 0, -2, 5, 20, 79, 58, 4
44, 0, 87, 0, 42, -26, 43, 46, 2, 1
43, 0, 81, -1, 44, 27, 37, 37, 0, 1
37, -4, 97, 0, 36, 0, 61, 61, 0, 1
41, 0, 77, 0, 38, -1, 36, 38, 2, 1
44, 2, 102, 0, 42, -18, 59, 61, 2, 1
43, 0, 81, 0, 44, 17, 37, 37, 0, 1
37, 0, 83, 0, 30, -6, 46, 52, 6, 1
56, 0, 86, 0, 56, 19, 30, 29, 0, 1
55, 0, 78, 6, 10, 12, 23, 68, 46, 4
56, 0, 80, 0, 6, 1, 24, 75, 50, 4
38, 2, 77, 0, 36, -18, 39, 41, 2, 1
46, 0, 76, 0, 46, 1, 30, 29, 0, 1
37, 0, 78, 0, 12, -6, 42, 65, 24, 1
45, 0, 83, 0, 46, 21, 38, 37, 0, 1
37, 0, 82, -3, -2, 0, 45, 85, 40, 1
45, -4, 79, 0, 44, -10, 33, 35, 2, 1
46, 0, 92, 7, 46, 0, 45, 45, 0, 1
37, 5, 90, -7, 6, 0, 53, 85, 32, 1
49, 0, 83, -2, 50, 39, 34, 34, 0, 1
51, 0, 87, 0, 52, 29, 36, 35, 0, 1
46, 0, 80, 0, 44, -26, 34, 36, 2, 1
46, -1, 88, -6, 46, -5, 41, 41, 0, 1
42, 0, 77, 7, 42, 0, 35, 36, 0, 1
39, 0, 108, 0, 38, 0, 68, 69, 0, 1
37, 0, 76, -1, 20, -4, 40, 55, 16, 1
53, 0, 88, 0, 52, -13, 35, 36, 2, 1
55, 0, 95, 0, 52, -9, 40, 44, 4, 4
56, 0, 92, 0, 0, 1, 36, 92, 56, 4
55, 0, 81, -2, -12, 0, 26, 94, 68, 4
37, 0, 103, -1, 24, -3, 66, 80, 14, 1
56, 0, 97, 0, 54, 3, 41, 43, 2, 1
44, 0, 109, 0, 42, -30, 66, 68, 2, 1
45, 0, 87, -1, 44, -1, 42, 43, 2, 1
56, 0, 98, 0, 46, 6, 42, 51, 10, 4
51, 5, 82, 0, 50, 0, 31, 33, 2, 1
52, 1, 91, 0, 52, 0, 39, 39, 0, 1
44, 0, 80, -4, 44, 1, 36, 36, 0, 1
49, 0, 79, 1, 50, 7, 30, 30, 0, 1
48, 4, 90, 0, 46, 0, 42, 43, 2, 1
53, 1, 86, 0, 52, -16, 33, 34, 2, 1
43, 0, 81, 5, 42, 0, 38, 40, 2, 1
45, 0, 81, 0, 44, -20, 35, 37, 2, 1
38, -4, 86, 0, 38, 0, 48, 48, 0, 1
56, 0, 97, 0, 42, 20, 41, 55, 14, 4
79, -1, 83, 0, -40, 0, 4, 125, 120, 5
81, 1, 86, 0, -40, 2, 4, 127, 122, 5
44, 0, 76, 0, 44, 2, 32, 32, 0, 1
46, 3, 79, 0, 46, 16, 33, 32, 0, 1
37, 0, 76, 0, 34, 10, 39, 42, 2, 1
37, 0, 106, 0, 26, 1, 68, 80, 12, 1
47, 0, 88, 6, 46, 0, 42, 42, 0, 1
37, 5, 75, 0, 36, 0, 38, 39, 0, 1
45, 0, 79, 0, 44, -27, 33, 35, 2, 1
37, 0, 76, 0, 30, -5, 39, 45, 6, 1
55, 0, 78, 0, 8, -12, 23, 70, 48, 4
