@relation unknow
@attribute a1 integer [27, 126]
@attribute a2 integer [-4821, 5075]
@attribute a3 integer [21, 149]
@attribute a4 integer [-3939, 3830]
@attribute a5 integer [-188, 436]
@attribute a6 integer [-13839, 13148]
@attribute a7 integer [-48, 105]
@attribute a8 integer [-353, 270]
@attribute a9 integer [-356, 266]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9
@outputs class
@data
45, 0, 86, 0, 44, -10, 41, 42, 2, 1
37, 0, 81, 0, 38, 7, 43, 42, 0, 1
37, 0, 76, 0, 34, 13, 39, 42, 4, 1
41, 1, 108, 0, 42, 10, 66, 66, 0, 1
43, 0, 86, 0, 44, 21, 43, 42, 0, 1
45, -4, 81, 1, 44, -21, 36, 37, 2, 1
50, 0, 110, 1, 50, 0, 60, 61, 2, 1
37, 0, 78, -4, 28, 0, 41, 50, 8, 1
45, 0, 106, 0, 46, 14, 61, 60, 0, 1
56, 4, 91, 0, 56, 6, 35, 34, 0, 1
44, 1, 108, 0, 44, 3, 64, 64, 0, 1
56, -1, 97, -2, 50, -1, 41, 48, 6, 4
37, 0, 82, -3, 8, 0, 45, 74, 30, 1
44, 3, 77, 0, 44, 23, 33, 33, 0, 1
47, 5, 84, 0, 46, 0, 37, 38, 0, 1
56, 0, 95, -2, 44, -2, 40, 51, 12, 4
56, 5, 97, 0, 38, 0, 40, 58, 18, 4
41, 0, 84, 2, 38, -4, 43, 45, 2, 1
56, 0, 86, 0, 54, -30, 30, 32, 2, 1
44, 0, 82, -5, 44, -1, 38, 38, 0, 1
42, -3, 86, 0, 42, 0, 45, 45, 0, 1
44, -2, 86, 0, 44, 0, 42, 42, 0, 1
47, 0, 88, -2, 46, 0, 40, 41, 0, 1
39, -1, 78, -5, 38, 0, 39, 39, 0, 1
55, 0, 78, -1, 2, -3, 23, 75, 52, 4
51, 4, 79, 0, 52, 14, 27, 27, 0, 1
51, 1, 88, 0, 50, -7, 36, 39, 2, 1
79, 0, 83, 0, -46, -29, 4, 130, 126, 5
43, 0, 77, -2, 42, 0, 34, 35, 2, 1
83, 0, 87, 0, -40, 0, 4, 128, 124, 5
37, 0, 82, 0, 26, -15, 45, 56, 10, 1
49, 3, 88, 0, 50, 0, 39, 39, 0, 1
36, 3, 75, 0, 36, 0, 39, 39, 0, 1
42, 5, 102, 0, 42, 0, 60, 60, 0, 1
44, 0, 75, -1, 44, 9, 31, 31, 0, 1
37, -54, 106, -2, 36, 0, 69, 69, 0, 1
48, -3, 80, 0, 46, -5, 32, 34, 2, 1
37, 0, 80, 0, 36, 5, 43, 44, 0, 1
37, 0, 76, 1, 26, 0, 40, 50, 10, 1
101, 5, 102, 0, 72, 14, 1, 29, 28, 5
79, -1, 83, -10, 436, 6339, 4, -353, -356, 5
55, 6, 95, 0, 50, 0, 41, 46, 6, 4
43, 0, 81, -1, 42, -13, 37, 39, 2, 1
37, 0, 77, 6, 36, -7, 39, 41, 2, 1
45, 0, 87, 2, 44, -19, 42, 43, 2, 1
44, 0, 81, 0, 42, -18, 38, 40, 2, 1
37, 0, 76, 144, 20, 0, 40, 55, 16, 1
43, 0, 79, 4, 42, 0, 37, 38, 2, 1
41, 0, 76, -2, 38, 0, 35, 37, 2, 1
49, 1, 80, 0, 50, 21, 31, 31, 0, 1
55, 0, 95, 0, 42, 19, 40, 54, 14, 4
37, 0, 79, 0, 8, -12, 43, 72, 28, 1
46, 0, 83, -6, 46, 0, 37, 37, 0, 1
82, -1, 86, 0, -12, 0, 4, 99, 94, 5
43, 0, 83, 0, 44, 30, 40, 39, 0, 1
56, -1, 95, 0, 44, 3, 40, 51, 12, 4
56, 0, 96, -4, 50, -2, 40, 47, 6, 4
37, 0, 77, 0, 26, -27, 40, 51, 10, 1
43, 0, 86, -2, 42, 0, 43, 45, 2, 1
42, 0, 86, 6, 42, 0, 43, 44, 2, 1
55, 1, 79, 0, 54, 0, 23, 24, 2, 1
81, 0, 84, 0, -20, 24, 4, 105, 102, 5
37, 0, 75, 0, 18, -18, 38, 57, 18, 1
37, 0, 104, -14, 28, 0, 67, 75, 8, 1
45, 0, 79, 0, 44, -14, 34, 35, 2, 1
41, 0, 76, -4, 38, 0, 35, 37, 2, 1
