@relation unknow
@attribute a1 integer [27, 126]
@attribute a2 integer [-4821, 5075]
@attribute a3 integer [21, 149]
@attribute a4 integer [-3939, 3830]
@attribute a5 integer [-188, 436]
@attribute a6 integer [-13839, 13148]
@attribute a7 integer [-48, 105]
@attribute a8 integer [-353, 270]
@attribute a9 integer [-356, 266]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9
@outputs class
@data
56, 0, 79, 0, 12, 11, 23, 66, 42, 4
37, 2, 97, 0, 34, -2, 60, 64, 4, 1
44, 1, 86, 0, 44, 22, 42, 42, 0, 1
57, 0, 82, 5, 56, 0, 25, 25, 0, 1
56, 0, 95, 0, 54, 1, 39, 41, 2, 1
37, 0, 106, 0, 24, -2, 69, 83, 14, 1
55, 2, 72, -13, 0, 1, 17, 72, 56, 4
56, 5, 96, 0, 50, 1, 40, 47, 8, 4
48, 0, 95, 0, 46, 0, 47, 49, 2, 1
41, 0, 88, 0, 42, 1, 47, 47, 0, 1
37, 0, 100, 0, 30, -3, 64, 69, 6, 1
46, 4, 87, 0, 44, -19, 41, 43, 2, 1
41, 3, 76, 0, 42, 13, 35, 35, 0, 1
45, 0, 81, 0, 46, 5, 36, 35, 0, 1
37, 0, 77, 7, 16, 7, 40, 61, 22, 1
41, -1, 76, 0, 38, -14, 35, 37, 2, 1
56, -3, 96, -1, 52, 0, 40, 44, 4, 4
37, 0, 100, 0, 30, -11, 64, 69, 6, 1
86, 5, 89, 0, 2, -5, 3, 86, 84, 5
37, 0, 83, 0, 8, 14, 46, 75, 30, 1
36, -5, 81, 0, 36, 0, 45, 45, 0, 1
56, 1, 86, 0, 54, -8, 31, 32, 2, 1
39, -1, 79, -3, 38, 0, 40, 41, 0, 1
56, 0, 92, 0, 0, 2, 36, 92, 56, 4
59, 0, 87, 0, 60, 18, 28, 28, 0, 1
56, -5, 107, 0, 56, 3, 51, 50, 0, 1
43, 0, 108, 0, 42, -2, 64, 66, 2, 1
37, 0, 76, 4, 28, -6, 40, 48, 8, 1
48, 0, 87, 8, 46, 0, 39, 41, 2, 1
37, 4, 81, 0, 36, -2, 43, 44, 2, 1
56, -1, 92, 0, 52, 0, 36, 40, 4, 4
56, 2, 98, 0, 44, -23, 42, 54, 12, 4
44, 0, 81, 0, 44, 21, 38, 37, 0, 1
37, 0, 105, 0, 30, -8, 68, 74, 6, 1
42, 2, 86, 0, 42, 0, 44, 45, 0, 1
90, -40, 107, 0, 64, -28, 17, 42, 26, 3
41, 0, 77, 0, 42, 10, 36, 35, 0, 1
56, 0, 78, 0, 44, 3, 22, 34, 12, 4
56, 0, 80, 0, 54, -9, 24, 26, 2, 1
37, 0, 80, 0, 8, 23, 43, 72, 28, 1
44, 1, 93, 0, 44, 3, 50, 50, 0, 1
37, -1, 106, -15, 28, 0, 69, 78, 8, 1
103, 2, 105, 9, 70, 0, 2, 35, 34, 5
43, 0, 86, -3, 42, 0, 42, 44, 2, 1
43, -1, 77, 0, 42, -4, 34, 35, 2, 1
55, 0, 82, 0, -32, -3, 26, 115, 90, 4
