@relation unknow
@attribute at1 real [0.0, 100.0]
@attribute at2 real [0.0, 100.0]
@attribute at3 real [0.0, 100.0]
@attribute at4 real [0.0, 100.0]
@attribute at5 real [0.0, 100.0]
@attribute at6 real [0.0, 100.0]
@attribute at7 real [0.0, 100.0]
@attribute at8 real [0.0, 100.0]
@attribute at9 real [0.0, 100.0]
@attribute at10 real [0.0, 100.0]
@attribute at11 real [0.0, 100.0]
@attribute at12 real [0.0, 100.0]
@attribute at13 real [0.0, 100.0]
@attribute at14 real [0.0, 100.0]
@attribute at15 real [0.0, 100.0]
@attribute at16 real [0.0, 100.0]
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16
@outputs class
@data
45.0, 100.0, 10.0, 67.0, 7.0, 16.0, 56.0, 0.0, 100.0, 31.0, 91.0, 79.0, 38.0, 95.0, 0.0, 61.0, 0
88.0, 99.0, 45.0, 82.0, 78.0, 75.0, 90.0, 100.0, 100.0, 68.0, 93.0, 36.0, 59.0, 9.0, 0.0, 0.0, 9
9.0, 61.0, 25.0, 100.0, 59.0, 72.0, 42.0, 27.0, 0.0, 5.0, 5.0, 24.0, 53.0, 16.0, 100.0, 0.0, 2
0.0, 45.0, 0.0, 61.0, 48.0, 82.0, 100.0, 100.0, 97.0, 78.0, 72.0, 51.0, 45.0, 24.0, 33.0, 0.0, 1
31.0, 88.0, 5.0, 50.0, 4.0, 8.0, 57.0, 0.0, 100.0, 30.0, 100.0, 71.0, 56.0, 100.0, 0.0, 92.0, 0
41.0, 79.0, 47.0, 100.0, 84.0, 94.0, 71.0, 52.0, 42.0, 16.0, 0.0, 3.0, 49.0, 7.0, 100.0, 0.0, 2
27.0, 100.0, 2.0, 56.0, 12.0, 8.0, 62.0, 0.0, 100.0, 33.0, 94.0, 79.0, 46.0, 94.0, 0.0, 72.0, 0
0.0, 82.0, 26.0, 100.0, 51.0, 80.0, 43.0, 50.0, 24.0, 22.0, 12.0, 2.0, 57.0, 1.0, 100.0, 0.0, 2
15.0, 72.0, 47.0, 100.0, 88.0, 89.0, 52.0, 60.0, 75.0, 35.0, 100.0, 7.0, 50.0, 0.0, 0.0, 11.0, 3
41.0, 82.0, 77.0, 98.0, 100.0, 100.0, 59.0, 90.0, 28.0, 69.0, 54.0, 42.0, 39.0, 13.0, 0.0, 0.0, 5
0.0, 87.0, 32.0, 100.0, 75.0, 90.0, 64.0, 45.0, 49.0, 0.0, 82.0, 10.0, 100.0, 33.0, 54.0, 37.0, 7
76.0, 70.0, 32.0, 100.0, 10.0, 71.0, 85.0, 41.0, 100.0, 4.0, 4.0, 0.0, 0.0, 39.0, 54.0, 73.0, 8
59.0, 85.0, 25.0, 71.0, 88.0, 35.0, 79.0, 0.0, 7.0, 29.0, 62.0, 64.0, 100.0, 100.0, 0.0, 99.0, 8
0.0, 54.0, 49.0, 75.0, 96.0, 100.0, 91.0, 75.0, 69.0, 45.0, 51.0, 16.0, 27.0, 0.0, 100.0, 6.0, 1
0.0, 86.0, 26.0, 100.0, 70.0, 84.0, 77.0, 45.0, 68.0, 5.0, 54.0, 0.0, 50.0, 25.0, 100.0, 23.0, 7
60.0, 98.0, 34.0, 56.0, 99.0, 66.0, 74.0, 100.0, 58.0, 65.0, 100.0, 58.0, 66.0, 0.0, 0.0, 8.0, 9
37.0, 71.0, 79.0, 71.0, 49.0, 100.0, 0.0, 45.0, 25.0, 36.0, 66.0, 0.0, 100.0, 51.0, 10.0, 26.0, 8
23.0, 100.0, 15.0, 75.0, 0.0, 40.0, 60.0, 29.0, 94.0, 60.0, 100.0, 70.0, 86.0, 35.0, 78.0, 0.0, 4
40.0, 100.0, 0.0, 60.0, 20.0, 21.0, 86.0, 14.0, 100.0, 40.0, 75.0, 86.0, 61.0, 50.0, 59.0, 0.0, 4
0.0, 99.0, 56.0, 100.0, 72.0, 80.0, 54.0, 41.0, 49.0, 0.0, 22.0, 18.0, 41.0, 36.0, 100.0, 39.0, 7
6.0, 83.0, 0.0, 39.0, 24.0, 0.0, 73.0, 11.0, 100.0, 51.0, 82.0, 94.0, 35.0, 100.0, 6.0, 62.0, 0
93.0, 93.0, 44.0, 100.0, 26.0, 73.0, 53.0, 51.0, 100.0, 46.0, 86.0, 12.0, 38.0, 0.0, 0.0, 13.0, 5
97.0, 69.0, 79.0, 100.0, 0.0, 92.0, 18.0, 60.0, 96.0, 74.0, 100.0, 68.0, 83.0, 32.0, 83.0, 0.0, 9
0.0, 98.0, 49.0, 100.0, 100.0, 99.0, 88.0, 65.0, 61.0, 33.0, 34.0, 0.0, 21.0, 18.0, 44.0, 41.0, 7
77.0, 87.0, 87.0, 57.0, 100.0, 19.0, 13.0, 0.0, 28.0, 35.0, 83.0, 69.0, 94.0, 100.0, 0.0, 79.0, 8
97.0, 100.0, 51.0, 100.0, 14.0, 68.0, 0.0, 32.0, 28.0, 0.0, 100.0, 13.0, 73.0, 32.0, 10.0, 10.0, 6
