@relation unknow
@attribute at1 real [0.0, 100.0]
@attribute at2 real [0.0, 100.0]
@attribute at3 real [0.0, 100.0]
@attribute at4 real [0.0, 100.0]
@attribute at5 real [0.0, 100.0]
@attribute at6 real [0.0, 100.0]
@attribute at7 real [0.0, 100.0]
@attribute at8 real [0.0, 100.0]
@attribute at9 real [0.0, 100.0]
@attribute at10 real [0.0, 100.0]
@attribute at11 real [0.0, 100.0]
@attribute at12 real [0.0, 100.0]
@attribute at13 real [0.0, 100.0]
@attribute at14 real [0.0, 100.0]
@attribute at15 real [0.0, 100.0]
@attribute at16 real [0.0, 100.0]
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16
@outputs class
@data
17.0, 100.0, 0.0, 74.0, 6.0, 36.0, 77.0, 37.0, 100.0, 63.0, 73.0, 95.0, 71.0, 47.0, 75.0, 0.0, 4
28.0, 82.0, 0.0, 39.0, 30.0, 0.0, 80.0, 5.0, 100.0, 54.0, 70.0, 99.0, 22.0, 100.0, 7.0, 50.0, 0
65.0, 100.0, 24.0, 84.0, 0.0, 48.0, 9.0, 10.0, 61.0, 0.0, 100.0, 24.0, 58.0, 47.0, 2.0, 46.0, 6
0.0, 79.0, 51.0, 59.0, 100.0, 29.0, 51.0, 0.0, 22.0, 26.0, 51.0, 60.0, 73.0, 94.0, 9.0, 100.0, 8
0.0, 100.0, 73.0, 97.0, 95.0, 80.0, 100.0, 64.0, 95.0, 48.0, 82.0, 31.0, 64.0, 15.0, 23.0, 0.0, 1
100.0, 92.0, 64.0, 100.0, 37.0, 77.0, 20.0, 50.0, 11.0, 21.0, 22.0, 0.0, 35.0, 26.0, 0.0, 40.0, 6
65.0, 100.0, 25.0, 93.0, 0.0, 56.0, 11.0, 16.0, 60.0, 0.0, 100.0, 20.0, 50.0, 28.0, 9.0, 1.0, 6
100.0, 100.0, 55.0, 98.0, 26.0, 81.0, 40.0, 67.0, 78.0, 55.0, 74.0, 25.0, 43.0, 1.0, 0.0, 0.0, 5
44.0, 60.0, 0.0, 77.0, 47.0, 99.0, 100.0, 100.0, 84.0, 75.0, 75.0, 50.0, 75.0, 24.0, 100.0, 0.0, 1
0.0, 56.0, 5.0, 14.0, 47.0, 0.0, 86.0, 25.0, 100.0, 66.0, 76.0, 100.0, 34.0, 80.0, 6.0, 45.0, 0
89.0, 100.0, 38.0, 83.0, 0.0, 44.0, 2.0, 0.0, 61.0, 2.0, 100.0, 40.0, 100.0, 88.0, 45.0, 98.0, 0
0.0, 89.0, 31.0, 100.0, 100.0, 80.0, 94.0, 39.0, 63.0, 0.0, 22.0, 15.0, 8.0, 37.0, 95.0, 44.0, 7
34.0, 100.0, 9.0, 68.0, 61.0, 65.0, 67.0, 24.0, 0.0, 0.0, 3.0, 45.0, 20.0, 92.0, 100.0, 99.0, 5
43.0, 83.0, 42.0, 76.0, 52.0, 100.0, 46.0, 44.0, 36.0, 0.0, 0.0, 13.0, 50.0, 12.0, 100.0, 13.0, 1
