@relation unknow
@attribute at1 real [0.0, 100.0]
@attribute at2 real [0.0, 100.0]
@attribute at3 real [0.0, 100.0]
@attribute at4 real [0.0, 100.0]
@attribute at5 real [0.0, 100.0]
@attribute at6 real [0.0, 100.0]
@attribute at7 real [0.0, 100.0]
@attribute at8 real [0.0, 100.0]
@attribute at9 real [0.0, 100.0]
@attribute at10 real [0.0, 100.0]
@attribute at11 real [0.0, 100.0]
@attribute at12 real [0.0, 100.0]
@attribute at13 real [0.0, 100.0]
@attribute at14 real [0.0, 100.0]
@attribute at15 real [0.0, 100.0]
@attribute at16 real [0.0, 100.0]
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16
@outputs class
@data
57.0, 100.0, 22.0, 72.0, 0.0, 31.0, 25.0, 0.0, 75.0, 13.0, 100.0, 50.0, 75.0, 87.0, 26.0, 85.0, 0
41.0, 69.0, 76.0, 100.0, 73.0, 81.0, 57.0, 39.0, 46.0, 0.0, 0.0, 10.0, 50.0, 9.0, 100.0, 10.0, 1
20.0, 85.0, 62.0, 100.0, 71.0, 72.0, 45.0, 52.0, 98.0, 47.0, 100.0, 17.0, 53.0, 0.0, 0.0, 0.0, 3
4.0, 63.0, 12.0, 15.0, 52.0, 0.0, 92.0, 15.0, 100.0, 63.0, 72.0, 100.0, 28.0, 97.0, 0.0, 62.0, 0
16.0, 100.0, 0.0, 78.0, 5.0, 54.0, 41.0, 32.0, 93.0, 39.0, 100.0, 48.0, 91.0, 24.0, 89.0, 0.0, 4
89.0, 87.0, 38.0, 100.0, 17.0, 78.0, 80.0, 77.0, 100.0, 76.0, 92.0, 34.0, 61.0, 0.0, 0.0, 4.0, 9
0.0, 100.0, 50.0, 97.0, 100.0, 91.0, 74.0, 63.0, 55.0, 29.0, 42.0, 0.0, 20.0, 31.0, 68.0, 36.0, 7
100.0, 97.0, 56.0, 100.0, 22.0, 83.0, 18.0, 50.0, 53.0, 47.0, 68.0, 22.0, 37.0, 0.0, 0.0, 6.0, 5
100.0, 100.0, 59.0, 78.0, 25.0, 52.0, 0.0, 24.0, 16.0, 0.0, 79.0, 8.0, 70.0, 29.0, 7.0, 27.0, 6
100.0, 74.0, 46.0, 65.0, 0.0, 78.0, 36.0, 100.0, 78.0, 88.0, 80.0, 58.0, 78.0, 28.0, 88.0, 0.0, 9
18.0, 78.0, 53.0, 100.0, 90.0, 81.0, 43.0, 57.0, 90.0, 55.0, 100.0, 22.0, 52.0, 0.0, 0.0, 16.0, 3
22.0, 77.0, 34.0, 100.0, 90.0, 99.0, 65.0, 67.0, 72.0, 56.0, 100.0, 28.0, 58.0, 2.0, 0.0, 0.0, 3
0.0, 86.0, 37.0, 100.0, 95.0, 92.0, 87.0, 67.0, 55.0, 44.0, 18.0, 23.0, 32.0, 2.0, 100.0, 0.0, 2
36.0, 100.0, 3.0, 76.0, 0.0, 32.0, 27.0, 0.0, 70.0, 6.0, 100.0, 37.0, 91.0, 76.0, 49.0, 70.0, 0
36.0, 84.0, 9.0, 86.0, 0.0, 38.0, 27.0, 0.0, 72.0, 9.0, 100.0, 47.0, 88.0, 94.0, 46.0, 100.0, 0
100.0, 95.0, 38.0, 99.0, 35.0, 65.0, 70.0, 29.0, 32.0, 0.0, 0.0, 27.0, 36.0, 64.0, 65.0, 100.0, 8
