@relation unknow
@attribute at1 real [0.0, 100.0]
@attribute at2 real [0.0, 100.0]
@attribute at3 real [0.0, 100.0]
@attribute at4 real [0.0, 100.0]
@attribute at5 real [0.0, 100.0]
@attribute at6 real [0.0, 100.0]
@attribute at7 real [0.0, 100.0]
@attribute at8 real [0.0, 100.0]
@attribute at9 real [0.0, 100.0]
@attribute at10 real [0.0, 100.0]
@attribute at11 real [0.0, 100.0]
@attribute at12 real [0.0, 100.0]
@attribute at13 real [0.0, 100.0]
@attribute at14 real [0.0, 100.0]
@attribute at15 real [0.0, 100.0]
@attribute at16 real [0.0, 100.0]
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16
@outputs class
@data
30.0, 81.0, 87.0, 100.0, 100.0, 98.0, 37.0, 86.0, 46.0, 54.0, 99.0, 32.0, 59.0, 2.0, 0.0, 0.0, 5
12.0, 61.0, 0.0, 20.0, 44.0, 0.0, 92.0, 23.0, 100.0, 64.0, 70.0, 100.0, 15.0, 92.0, 0.0, 52.0, 0
67.0, 100.0, 30.0, 90.0, 0.0, 57.0, 41.0, 40.0, 100.0, 53.0, 98.0, 67.0, 66.0, 34.0, 40.0, 0.0, 4
100.0, 100.0, 63.0, 94.0, 20.0, 73.0, 13.0, 44.0, 70.0, 47.0, 89.0, 19.0, 46.0, 0.0, 0.0, 7.0, 5
21.0, 82.0, 13.0, 55.0, 54.0, 100.0, 27.0, 87.0, 38.0, 37.0, 40.0, 0.0, 0.0, 7.0, 100.0, 5.0, 1
35.0, 98.0, 76.0, 100.0, 80.0, 72.0, 67.0, 54.0, 100.0, 34.0, 77.0, 9.0, 35.0, 0.0, 0.0, 7.0, 3
100.0, 81.0, 83.0, 96.0, 26.0, 100.0, 0.0, 88.0, 16.0, 54.0, 69.0, 40.0, 87.0, 6.0, 34.0, 0.0, 5
51.0, 91.0, 86.0, 100.0, 70.0, 66.0, 43.0, 34.0, 8.0, 6.0, 0.0, 11.0, 49.0, 10.0, 100.0, 0.0, 2
33.0, 76.0, 48.0, 100.0, 100.0, 97.0, 74.0, 50.0, 44.0, 4.0, 77.0, 0.0, 39.0, 40.0, 0.0, 79.0, 8
100.0, 97.0, 40.0, 100.0, 0.0, 65.0, 35.0, 27.0, 39.0, 0.0, 40.0, 38.0, 87.0, 73.0, 87.0, 100.0, 8
75.0, 100.0, 0.0, 89.0, 70.0, 61.0, 100.0, 26.0, 32.0, 0.0, 7.0, 31.0, 63.0, 63.0, 95.0, 99.0, 8
62.0, 76.0, 23.0, 100.0, 0.0, 67.0, 67.0, 35.0, 89.0, 0.0, 22.0, 22.0, 56.0, 60.0, 100.0, 96.0, 8
21.0, 82.0, 36.0, 60.0, 82.0, 32.0, 82.0, 0.0, 37.0, 28.0, 0.0, 58.0, 34.0, 89.0, 100.0, 100.0, 5
0.0, 61.0, 24.0, 71.0, 62.0, 90.0, 100.0, 100.0, 86.0, 74.0, 68.0, 49.0, 51.0, 23.0, 41.0, 0.0, 1
26.0, 52.0, 16.0, 8.0, 63.0, 0.0, 100.0, 34.0, 99.0, 81.0, 54.0, 100.0, 6.0, 82.0, 0.0, 38.0, 0
17.0, 100.0, 8.0, 53.0, 61.0, 47.0, 42.0, 0.0, 3.0, 17.0, 0.0, 80.0, 44.0, 96.0, 100.0, 94.0, 5
0.0, 87.0, 46.0, 100.0, 88.0, 85.0, 73.0, 43.0, 65.0, 0.0, 36.0, 18.0, 46.0, 42.0, 100.0, 50.0, 7
57.0, 96.0, 3.0, 100.0, 27.0, 74.0, 62.0, 90.0, 86.0, 71.0, 100.0, 31.0, 63.0, 0.0, 0.0, 3.0, 9
100.0, 100.0, 67.0, 90.0, 39.0, 70.0, 14.0, 47.0, 0.0, 19.0, 22.0, 0.0, 37.0, 21.0, 3.0, 30.0, 6
100.0, 81.0, 55.0, 100.0, 0.0, 83.0, 33.0, 65.0, 85.0, 85.0, 83.0, 64.0, 64.0, 32.0, 62.0, 0.0, 9
94.0, 79.0, 69.0, 100.0, 48.0, 71.0, 85.0, 70.0, 100.0, 54.0, 85.0, 18.0, 44.0, 0.0, 0.0, 9.0, 9
2.0, 44.0, 0.0, 58.0, 43.0, 79.0, 86.0, 100.0, 100.0, 93.0, 77.0, 63.0, 56.0, 32.0, 50.0, 0.0, 1
86.0, 100.0, 43.0, 83.0, 71.0, 66.0, 100.0, 87.0, 83.0, 67.0, 76.0, 40.0, 48.0, 17.0, 0.0, 0.0, 9
79.0, 89.0, 100.0, 100.0, 41.0, 96.0, 0.0, 74.0, 53.0, 66.0, 95.0, 51.0, 74.0, 24.0, 39.0, 0.0, 9
48.0, 100.0, 16.0, 79.0, 0.0, 46.0, 12.0, 12.0, 55.0, 0.0, 100.0, 10.0, 75.0, 29.0, 33.0, 16.0, 6
1.0, 90.0, 0.0, 54.0, 20.0, 16.0, 68.0, 0.0, 100.0, 31.0, 99.0, 71.0, 61.0, 100.0, 26.0, 75.0, 0
100.0, 100.0, 58.0, 88.0, 24.0, 61.0, 1.0, 31.0, 14.0, 0.0, 67.0, 1.0, 48.0, 27.0, 0.0, 19.0, 6
56.0, 100.0, 100.0, 98.0, 27.0, 97.0, 24.0, 66.0, 78.0, 48.0, 95.0, 11.0, 32.0, 0.0, 0.0, 26.0, 5
16.0, 88.0, 58.0, 100.0, 96.0, 82.0, 72.0, 55.0, 100.0, 34.0, 98.0, 7.0, 48.0, 0.0, 0.0, 10.0, 3
0.0, 89.0, 44.0, 100.0, 91.0, 89.0, 77.0, 53.0, 63.0, 17.0, 83.0, 0.0, 100.0, 15.0, 50.0, 20.0, 7
39.0, 83.0, 63.0, 100.0, 78.0, 78.0, 71.0, 61.0, 100.0, 39.0, 78.0, 11.0, 36.0, 0.0, 0.0, 17.0, 3
12.0, 78.0, 7.0, 36.0, 33.0, 2.0, 83.0, 0.0, 100.0, 38.0, 85.0, 78.0, 43.0, 100.0, 0.0, 80.0, 0
