@relation unknow
@attribute at1 real [0.0, 100.0]
@attribute at2 real [0.0, 100.0]
@attribute at3 real [0.0, 100.0]
@attribute at4 real [0.0, 100.0]
@attribute at5 real [0.0, 100.0]
@attribute at6 real [0.0, 100.0]
@attribute at7 real [0.0, 100.0]
@attribute at8 real [0.0, 100.0]
@attribute at9 real [0.0, 100.0]
@attribute at10 real [0.0, 100.0]
@attribute at11 real [0.0, 100.0]
@attribute at12 real [0.0, 100.0]
@attribute at13 real [0.0, 100.0]
@attribute at14 real [0.0, 100.0]
@attribute at15 real [0.0, 100.0]
@attribute at16 real [0.0, 100.0]
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16
@outputs class
@data
32.0, 59.0, 53.0, 100.0, 100.0, 95.0, 79.0, 46.0, 48.0, 0.0, 93.0, 19.0, 58.0, 55.0, 0.0, 63.0, 8
97.0, 100.0, 41.0, 90.0, 4.0, 58.0, 0.0, 22.0, 52.0, 0.0, 100.0, 22.0, 49.0, 38.0, 8.0, 13.0, 6
29.0, 47.0, 59.0, 71.0, 100.0, 100.0, 90.0, 81.0, 74.0, 50.0, 66.0, 18.0, 0.0, 0.0, 99.0, 7.0, 1
100.0, 100.0, 62.0, 83.0, 36.0, 57.0, 23.0, 26.0, 42.0, 0.0, 81.0, 10.0, 43.0, 23.0, 0.0, 18.0, 6
0.0, 32.0, 29.0, 55.0, 63.0, 78.0, 100.0, 100.0, 90.0, 75.0, 88.0, 50.0, 84.0, 25.0, 80.0, 0.0, 1
55.0, 76.0, 22.0, 68.0, 66.0, 29.0, 39.0, 0.0, 52.0, 32.0, 100.0, 68.0, 69.0, 100.0, 0.0, 86.0, 8
100.0, 100.0, 54.0, 85.0, 21.0, 57.0, 0.0, 27.0, 23.0, 0.0, 75.0, 7.0, 57.0, 29.0, 3.0, 23.0, 6
31.0, 88.0, 6.0, 58.0, 14.0, 13.0, 64.0, 0.0, 100.0, 33.0, 96.0, 77.0, 49.0, 100.0, 0.0, 81.0, 0
0.0, 72.0, 9.0, 100.0, 68.0, 94.0, 74.0, 63.0, 49.0, 34.0, 6.0, 9.0, 30.0, 0.0, 100.0, 1.0, 2
0.0, 95.0, 54.0, 100.0, 93.0, 79.0, 81.0, 42.0, 60.0, 7.0, 36.0, 0.0, 44.0, 27.0, 100.0, 31.0, 7
55.0, 89.0, 32.0, 100.0, 5.0, 65.0, 0.0, 28.0, 43.0, 0.0, 100.0, 19.0, 51.0, 31.0, 16.0, 0.0, 6
0.0, 53.0, 8.0, 55.0, 46.0, 79.0, 89.0, 100.0, 100.0, 85.0, 78.0, 57.0, 56.0, 29.0, 47.0, 0.0, 1
19.0, 71.0, 55.0, 100.0, 100.0, 99.0, 73.0, 66.0, 55.0, 44.0, 97.0, 22.0, 55.0, 0.0, 0.0, 4.0, 3
21.0, 87.0, 61.0, 100.0, 71.0, 66.0, 38.0, 36.0, 0.0, 12.0, 15.0, 1.0, 60.0, 1.0, 100.0, 0.0, 2
100.0, 92.0, 18.0, 81.0, 46.0, 39.0, 62.0, 0.0, 1.0, 13.0, 43.0, 56.0, 74.0, 100.0, 0.0, 75.0, 8
86.0, 88.0, 33.0, 65.0, 0.0, 87.0, 58.0, 100.0, 87.0, 67.0, 100.0, 31.0, 93.0, 0.0, 19.0, 7.0, 9
0.0, 92.0, 68.0, 100.0, 89.0, 81.0, 74.0, 40.0, 61.0, 0.0, 35.0, 13.0, 20.0, 42.0, 100.0, 50.0, 7
81.0, 100.0, 50.0, 79.0, 23.0, 52.0, 17.0, 22.0, 70.0, 15.0, 100.0, 31.0, 44.0, 19.0, 0.0, 0.0, 6
32.0, 90.0, 0.0, 60.0, 2.0, 17.0, 51.0, 0.0, 95.0, 27.0, 100.0, 69.0, 66.0, 100.0, 25.0, 72.0, 0
30.0, 100.0, 19.0, 80.0, 0.0, 53.0, 11.0, 32.0, 74.0, 40.0, 100.0, 56.0, 89.0, 28.0, 85.0, 0.0, 4
22.0, 72.0, 34.0, 100.0, 62.0, 73.0, 38.0, 35.0, 0.0, 8.0, 5.0, 0.0, 53.0, 3.0, 100.0, 8.0, 2
31.0, 83.0, 0.0, 53.0, 1.0, 8.0, 57.0, 0.0, 100.0, 30.0, 98.0, 75.0, 51.0, 100.0, 7.0, 72.0, 0
0.0, 40.0, 22.0, 53.0, 49.0, 64.0, 76.0, 79.0, 100.0, 100.0, 84.0, 73.0, 71.0, 38.0, 63.0, 0.0, 1
19.0, 96.0, 21.0, 59.0, 73.0, 41.0, 40.0, 0.0, 3.0, 21.0, 0.0, 77.0, 36.0, 98.0, 100.0, 100.0, 5
0.0, 59.0, 46.0, 70.0, 86.0, 91.0, 100.0, 100.0, 95.0, 75.0, 92.0, 50.0, 89.0, 25.0, 95.0, 0.0, 1
100.0, 100.0, 56.0, 82.0, 19.0, 56.0, 0.0, 25.0, 30.0, 0.0, 87.0, 2.0, 84.0, 16.0, 30.0, 9.0, 6
41.0, 85.0, 77.0, 100.0, 92.0, 73.0, 66.0, 49.0, 100.0, 31.0, 78.0, 5.0, 37.0, 0.0, 0.0, 15.0, 3
0.0, 40.0, 26.0, 65.0, 60.0, 85.0, 97.0, 100.0, 100.0, 82.0, 74.0, 56.0, 48.0, 29.0, 30.0, 0.0, 1
52.0, 100.0, 21.0, 75.0, 5.0, 49.0, 0.0, 22.0, 34.0, 1.0, 100.0, 0.0, 95.0, 22.0, 35.0, 16.0, 6
54.0, 82.0, 12.0, 67.0, 0.0, 28.0, 34.0, 0.0, 83.0, 8.0, 100.0, 46.0, 73.0, 82.0, 28.0, 100.0, 0
7.0, 100.0, 0.0, 77.0, 0.0, 55.0, 20.0, 33.0, 96.0, 42.0, 87.0, 45.0, 85.0, 22.0, 100.0, 0.0, 4
33.0, 100.0, 32.0, 83.0, 0.0, 50.0, 60.0, 47.0, 96.0, 46.0, 100.0, 73.0, 91.0, 35.0, 85.0, 0.0, 4
0.0, 63.0, 24.0, 100.0, 52.0, 79.0, 37.0, 37.0, 5.0, 3.0, 6.0, 0.0, 53.0, 2.0, 100.0, 1.0, 2
39.0, 94.0, 0.0, 31.0, 42.0, 0.0, 100.0, 43.0, 95.0, 100.0, 30.0, 69.0, 49.0, 53.0, 30.0, 28.0, 0
30.0, 97.0, 82.0, 100.0, 65.0, 67.0, 19.0, 87.0, 81.0, 83.0, 100.0, 39.0, 68.0, 0.0, 0.0, 16.0, 9
51.0, 78.0, 0.0, 68.0, 47.0, 34.0, 100.0, 0.0, 19.0, 7.0, 63.0, 43.0, 85.0, 82.0, 9.0, 100.0, 8
45.0, 98.0, 82.0, 100.0, 72.0, 57.0, 42.0, 22.0, 0.0, 0.0, 3.0, 2.0, 52.0, 4.0, 100.0, 6.0, 2
32.0, 59.0, 70.0, 77.0, 98.0, 100.0, 100.0, 83.0, 87.0, 58.0, 79.0, 33.0, 57.0, 9.0, 0.0, 0.0, 1
22.0, 53.0, 76.0, 70.0, 100.0, 100.0, 39.0, 99.0, 0.0, 71.0, 53.0, 61.0, 67.0, 31.0, 40.0, 0.0, 9
46.0, 88.0, 24.0, 61.0, 19.0, 11.0, 63.0, 0.0, 100.0, 29.0, 86.0, 78.0, 45.0, 100.0, 0.0, 86.0, 0
0.0, 62.0, 48.0, 81.0, 100.0, 100.0, 87.0, 86.0, 58.0, 65.0, 39.0, 44.0, 16.0, 21.0, 10.0, 0.0, 1
14.0, 78.0, 45.0, 100.0, 62.0, 71.0, 34.0, 39.0, 0.0, 14.0, 15.0, 8.0, 58.0, 8.0, 100.0, 0.0, 2
21.0, 94.0, 44.0, 73.0, 100.0, 100.0, 13.0, 100.0, 16.0, 80.0, 61.0, 66.0, 23.0, 33.0, 0.0, 0.0, 9
32.0, 88.0, 21.0, 100.0, 66.0, 94.0, 45.0, 65.0, 69.0, 54.0, 100.0, 29.0, 64.0, 3.0, 0.0, 0.0, 3
37.0, 90.0, 4.0, 97.0, 35.0, 57.0, 100.0, 22.0, 49.0, 0.0, 0.0, 33.0, 54.0, 72.0, 35.0, 100.0, 8
0.0, 53.0, 45.0, 68.0, 80.0, 90.0, 100.0, 100.0, 98.0, 75.0, 98.0, 50.0, 95.0, 25.0, 93.0, 0.0, 1
0.0, 99.0, 42.0, 100.0, 23.0, 75.0, 2.0, 50.0, 23.0, 27.0, 93.0, 43.0, 81.0, 25.0, 100.0, 0.0, 4
9.0, 95.0, 3.0, 60.0, 65.0, 67.0, 66.0, 8.0, 11.0, 0.0, 0.0, 61.0, 32.0, 91.0, 100.0, 100.0, 5
