@relation unknow
@attribute a1 {0, 1, 2, 3}
@attribute a2 {0, 1, 2, 3}
@attribute a3 {0, 1, 2, 3}
@attribute a4 {0, 1, 2, 3}
@attribute a5 {0, 1, 2, 3}
@attribute a6 {0, 1, 2, 3}
@attribute a7 {0, 1, 2, 3}
@attribute a8 {0, 1, 2, 3}
@attribute a9 {0, 1, 2, 3}
@attribute a10 {0, 1, 2, 3}
@attribute a11 {0, 1}
@attribute a12 {0, 1, 2, 3}
@attribute a13 {0, 1, 2}
@attribute a14 {0, 1, 2, 3}
@attribute a15 {0, 1, 2, 3}
@attribute a16 {0, 1, 2, 3}
@attribute a17 {0, 1, 2, 3}
@attribute a18 {0, 1, 2, 3}
@attribute a19 {0, 1, 2, 3}
@attribute a20 {0, 1, 2, 3}
@attribute a21 {0, 1, 2, 3}
@attribute a22 {0, 1, 2, 3}
@attribute a23 {0, 1, 2, 3}
@attribute a24 {0, 1, 2, 3}
@attribute a25 {0, 1, 2, 3}
@attribute a26 {0, 1, 2, 3}
@attribute a27 {0, 1, 2, 3}
@attribute a28 {0, 1, 2, 3}
@attribute a29 {0, 1, 2, 3}
@attribute a30 {0, 1, 2, 3}
@attribute a31 {0, 1, 2, 3}
@attribute a32 {0, 1, 2, 3}
@attribute a33 {0, 1, 2, 3}
@attribute a34 real [0.0, 75.0]
@attribute class {1, 2, 3, 4, 5, 6}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34
@outputs class
@data
2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 1, 2, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 42.0, 5
1, 1, 2, 3, 2, 2, 0, 3, 0, 0, 0, 2, 0, 0, 0, 2, 2, 1, 2, 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 1, 0, 2, 3, 50.0, 3
2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 35.0, 2
3, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 3, 0, 0, 2, 3, 32.0, 3
2, 1, 1, 3, 0, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0, 0, 2, 2, 29.0, 3
2, 2, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 8.0, 6
2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 2, 0, 2, 3, 3, 3, 1, 3, 0, 3, 0, 0, 0, 0, 0, 3, 0, 36.0, 1
1, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 21.0, 4
1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 2, 3, 52.0, 3
1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 48.0, 5
2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 27.0, 5
3, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 31.0, 2
2, 2, 2, 3, 3, 0, 0, 0, 0, 2, 0, 0, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 30.0, 1
3, 3, 2, 2, 1, 0, 0, 0, 0, 1, 0, 0, 2, 2, 0, 1, 2, 1, 1, 1, 2, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 42.0, 1
2, 1, 2, 1, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 0, 0, 3, 3, 48.0, 3
