@relation unknow
@attribute T3resin real [65.0, 144.0]
@attribute thyroxin real [0.5, 25.3]
@attribute triiodothyronine real [0.2, 10.0]
@attribute thyroidstimulating real [0.1, 56.4]
@attribute TSH_value real [-0.7, 56.3]
@attribute class {3, 2, 1}
@inputs T3resin, thyroxin, triiodothyronine, thyroidstimulating, TSH_value
@outputs class
@data
109.0, 5.3, 1.6, 1.4, 1.5, 1
105.0, 6.1, 2.1, 1.4, 7.0, 1
106.0, 9.4, 2.2, 1.5, 0.0, 1
116.0, 9.2, 2.7, 1.0, 4.2, 1
114.0, 6.7, 1.5, 1.0, 3.5, 1
106.0, 9.6, 2.4, 1.0, 1.3, 1
105.0, 11.1, 2.0, 1.0, 1.0, 1
90.0, 8.1, 1.6, 1.4, 1.1, 1
129.0, 11.9, 2.7, 1.2, 3.5, 1
121.0, 13.5, 1.5, 1.6, 0.5, 1
100.0, 11.3, 2.5, 0.7, -0.3, 1
114.0, 10.9, 2.1, 0.3, 1.4, 1
103.0, 8.1, 1.4, 0.5, 3.8, 1
116.0, 10.0, 1.7, 1.5, 4.3, 1
97.0, 7.8, 1.3, 1.2, 0.9, 1
96.0, 9.4, 1.5, 1.0, 3.1, 1
120.0, 12.4, 2.4, 0.8, 1.9, 1
109.0, 7.6, 1.3, 2.2, 1.9, 1
105.0, 9.5, 1.8, 1.6, 3.6, 1
114.0, 9.1, 2.6, 1.5, 1.5, 1
108.0, 10.9, 1.2, 1.9, 1.0, 1
114.0, 8.4, 1.6, 1.6, -0.2, 1
116.0, 16.1, 0.9, 1.3, 1.5, 1
103.0, 7.3, 1.0, 0.7, 0.5, 1
101.0, 6.3, 1.5, 0.9, 2.9, 1
106.0, 8.9, 0.7, 1.0, 2.3, 1
102.0, 8.4, 1.5, 0.8, 2.4, 1
103.0, 9.5, 2.9, 1.4, -0.1, 1
108.0, 7.1, 1.3, 1.6, 2.2, 1
94.0, 7.5, 1.2, 1.3, 4.4, 1
113.0, 17.2, 1.8, 1.0, 0.0, 2
67.0, 23.3, 7.4, 1.8, -0.6, 2
80.0, 23.0, 10.0, 0.9, -0.1, 2
99.0, 13.0, 3.1, 0.5, -0.1, 2
84.0, 21.5, 2.7, 1.1, -0.6, 2
99.0, 17.5, 1.9, 1.4, 0.3, 2
92.0, 11.1, 2.0, 0.7, -0.2, 2
120.0, 3.0, 2.5, 1.2, 4.5, 3
119.0, 3.8, 1.1, 23.0, 5.7, 3
141.0, 5.6, 1.8, 9.2, 14.4, 3
123.0, 1.9, 0.3, 22.8, 22.2, 3
118.0, 6.5, 1.3, 1.7, 11.5, 3
97.0, 4.7, 1.1, 2.1, 12.6, 3
