@relation unknow
@attribute T3resin real [65.0, 144.0]
@attribute thyroxin real [0.5, 25.3]
@attribute triiodothyronine real [0.2, 10.0]
@attribute thyroidstimulating real [0.1, 56.4]
@attribute TSH_value real [-0.7, 56.3]
@attribute class {3, 2, 1}
@inputs T3resin, thyroxin, triiodothyronine, thyroidstimulating, TSH_value
@outputs class
@data
127.0, 12.9, 2.4, 1.4, 0.6, 1
110.0, 10.4, 1.6, 1.6, 2.7, 1
106.0, 4.2, 1.2, 1.6, 1.4, 1
112.0, 8.1, 1.9, 3.7, 2.0, 1
117.0, 12.2, 1.9, 1.2, 3.9, 1
106.0, 9.4, 1.5, 0.8, 0.5, 1
100.0, 10.5, 2.4, 0.9, 1.9, 1
120.0, 6.8, 1.9, 1.3, 1.9, 1
100.0, 9.5, 2.5, 1.3, -0.2, 1
119.0, 8.0, 2.0, 0.6, 3.2, 1
120.0, 10.4, 2.1, 1.1, 1.8, 1
106.0, 11.3, 1.8, 0.9, 1.0, 1
118.0, 10.5, 2.1, 0.7, 3.5, 1
133.0, 9.7, 2.9, 0.8, 1.9, 1
113.0, 8.5, 1.8, 0.8, 0.5, 1
101.0, 7.1, 1.6, 1.5, 1.6, 1
103.0, 8.5, 1.8, 1.9, 1.1, 1
111.0, 7.8, 2.0, 1.8, 4.1, 1
119.0, 11.4, 2.3, 2.2, 1.6, 1
112.0, 5.9, 1.7, 2.0, 1.3, 1
112.0, 9.5, 2.0, 1.2, 0.7, 1
109.0, 12.4, 2.3, 1.7, 0.8, 1
116.0, 11.5, 1.8, 1.4, 5.4, 1
105.0, 8.7, 1.5, 1.1, 1.5, 1
117.0, 7.8, 2.0, 1.0, 3.9, 1
111.0, 9.1, 1.7, 1.2, 4.1, 1
130.0, 10.0, 1.6, 0.9, 4.6, 1
110.0, 6.3, 1.0, 0.8, 1.0, 1
127.0, 7.7, 1.8, 1.9, 6.4, 1
102.0, 6.6, 1.2, 1.4, 1.3, 1
89.0, 14.3, 4.1, 0.5, 0.2, 2
88.0, 12.9, 2.7, 0.1, 0.2, 2
105.0, 17.4, 1.6, 0.3, 0.4, 2
89.0, 20.1, 7.3, 1.1, -0.2, 2
84.0, 18.5, 4.4, 1.1, -0.3, 2
94.0, 20.5, 1.8, 1.4, -0.5, 2
106.0, 13.4, 3.0, 1.1, 0.0, 2
108.0, 3.5, 0.6, 1.7, 1.4, 3
118.0, 3.6, 1.5, 11.6, 48.8, 3
119.0, 0.8, 0.7, 56.4, 21.6, 3
123.0, 5.6, 1.1, 13.7, 56.3, 3
113.0, 5.1, 0.7, 5.8, 19.6, 3
136.0, 1.4, 0.3, 32.6, 8.4, 3
