@relation unknow
@attribute T3resin real [65.0, 144.0]
@attribute thyroxin real [0.5, 25.3]
@attribute triiodothyronine real [0.2, 10.0]
@attribute thyroidstimulating real [0.1, 56.4]
@attribute TSH_value real [-0.7, 56.3]
@attribute class {3, 2, 1}
@inputs T3resin, thyroxin, triiodothyronine, thyroidstimulating, TSH_value
@outputs class
@data
113.0, 9.9, 3.1, 2.0, 5.9, 1
101.0, 7.8, 1.2, 1.0, 1.7, 1
109.0, 10.4, 1.9, 0.4, -0.1, 1
121.0, 10.1, 1.7, 1.3, 0.1, 1
116.0, 10.1, 2.2, 1.6, 0.8, 1
110.0, 7.8, 1.9, 2.1, 6.4, 1
123.0, 8.1, 2.3, 1.0, 5.1, 1
107.0, 8.4, 1.8, 1.5, 0.8, 1
118.0, 8.1, 1.9, 1.5, 13.7, 1
106.0, 9.4, 1.7, 0.9, 3.1, 1
93.0, 8.9, 1.5, 0.8, 2.7, 1
113.0, 11.1, 1.7, 0.8, 2.3, 1
109.0, 9.7, 1.4, 1.1, 2.1, 1
108.0, 10.4, 2.1, 1.3, 2.4, 1
115.0, 15.3, 2.3, 2.0, 2.0, 1
105.0, 8.1, 2.0, 1.9, -0.5, 1
98.0, 8.6, 1.6, 1.6, 6.0, 1
120.0, 7.1, 1.2, 1.5, 4.3, 1
116.0, 11.9, 1.8, 1.9, 1.5, 1
113.0, 11.5, 1.5, 1.9, 2.9, 1
114.0, 8.1, 1.6, 1.6, 0.5, 1
107.0, 13.8, 1.5, 1.0, 1.9, 1
110.0, 7.0, 1.0, 1.6, 4.3, 1
104.0, 9.6, 1.1, 1.3, 0.8, 1
111.0, 8.5, 1.6, 1.2, 7.7, 1
101.0, 6.7, 1.3, 1.0, 5.7, 1
113.0, 7.8, 2.0, 1.1, 3.0, 1
118.0, 6.5, 1.2, 1.2, 1.7, 1
109.0, 9.2, 1.8, 1.1, 4.4, 1
126.0, 10.4, 1.7, 1.2, 3.5, 1
111.0, 16.0, 2.1, 0.9, -0.1, 2
134.0, 16.4, 4.8, 0.6, 0.1, 2
89.0, 23.8, 5.4, 0.5, 0.1, 2
68.0, 14.7, 7.8, 0.6, -0.2, 2
98.0, 16.7, 4.3, 1.7, 0.2, 2
88.0, 16.5, 4.9, 0.8, 0.1, 2
79.0, 19.0, 5.5, 0.9, 0.3, 2
129.0, 1.5, 0.6, 12.5, 2.9, 3
115.0, 6.3, 1.2, 4.7, 14.4, 3
134.0, 2.0, 0.5, 12.2, 2.2, 3
125.0, 3.7, 1.1, 8.5, 25.9, 3
134.0, 1.9, 0.6, 18.4, 8.2, 3
102.0, 5.3, 1.4, 1.3, 6.7, 3
