@relation unknow
@attribute T3resin real [65.0, 144.0]
@attribute thyroxin real [0.5, 25.3]
@attribute triiodothyronine real [0.2, 10.0]
@attribute thyroidstimulating real [0.1, 56.4]
@attribute TSH_value real [-0.7, 56.3]
@attribute class {3, 2, 1}
@inputs T3resin, thyroxin, triiodothyronine, thyroidstimulating, TSH_value
@outputs class
@data
107.0, 10.1, 2.2, 0.9, 2.7, 1
107.0, 13.0, 1.1, 0.9, 3.1, 1
109.0, 8.4, 2.1, 1.1, 3.6, 1
102.0, 7.6, 1.8, 2.0, 2.5, 1
110.0, 10.4, 1.8, 1.0, 2.3, 1
116.0, 11.1, 2.0, 1.2, 2.3, 1
113.0, 9.0, 2.0, 1.8, 1.6, 1
110.0, 9.2, 1.6, 1.5, 0.3, 1
109.0, 10.0, 1.3, 1.8, 4.3, 1
115.0, 8.1, 1.7, 0.6, 2.2, 1
110.0, 8.7, 1.9, 1.6, 4.4, 1
115.0, 10.4, 1.8, 1.6, 2.0, 1
119.0, 12.9, 1.5, 1.3, 3.6, 1
117.0, 6.7, 2.2, 1.8, 6.7, 1
91.0, 8.0, 1.7, 2.1, 4.6, 1
107.0, 13.0, 1.5, 2.8, 1.7, 1
122.0, 11.8, 2.7, 1.7, 2.3, 1
114.0, 11.1, 2.4, 2.0, -0.3, 1
108.0, 8.7, 1.2, 2.2, 2.5, 1
105.0, 11.1, 1.1, 0.8, 1.2, 1
102.0, 9.5, 1.4, 1.1, 1.6, 1
112.0, 6.8, 1.7, 1.4, 3.3, 1
115.0, 10.6, 0.8, 2.1, 4.6, 1
116.0, 7.8, 1.4, 1.1, 3.7, 1
108.0, 6.5, 1.0, 0.9, 1.5, 1
105.0, 5.7, 1.0, 0.9, 0.9, 1
112.0, 6.5, 1.2, 1.2, 2.0, 1
118.0, 12.2, 1.5, 1.0, 2.3, 1
114.0, 7.5, 1.1, 1.6, 4.4, 1
104.0, 6.1, 1.8, 0.5, 0.8, 1
65.0, 25.3, 5.8, 1.3, 0.2, 2
88.0, 24.1, 5.5, 0.8, 0.1, 2
110.0, 20.3, 3.7, 0.6, 0.2, 2
95.0, 11.1, 2.7, 1.6, -0.3, 2
76.0, 25.3, 4.5, 1.2, -0.1, 2
144.0, 22.3, 3.3, 1.3, 0.6, 2
97.0, 15.1, 1.8, 1.2, -0.2, 2
125.0, 2.3, 0.9, 16.5, 9.5, 3
120.0, 1.9, 0.7, 18.5, 24.0, 3
141.0, 2.5, 1.3, 8.5, 7.5, 3
120.0, 3.4, 1.8, 7.5, 21.5, 3
119.0, 5.1, 1.1, 7.0, 40.8, 3
139.0, 4.2, 0.7, 4.3, 6.3, 3
