@relation unknow
@attribute T3resin real [65.0, 144.0]
@attribute thyroxin real [0.5, 25.3]
@attribute triiodothyronine real [0.2, 10.0]
@attribute thyroidstimulating real [0.1, 56.4]
@attribute TSH_value real [-0.7, 56.3]
@attribute class {3, 2, 1}
@inputs T3resin, thyroxin, triiodothyronine, thyroidstimulating, TSH_value
@outputs class
@data
105.0, 7.3, 1.5, 1.5, -0.1, 1
114.0, 9.9, 2.4, 1.5, 5.7, 1
110.0, 11.3, 2.3, 0.9, 3.3, 1
122.0, 9.7, 1.6, 0.9, 2.2, 1
111.0, 8.4, 1.5, 0.8, 1.2, 1
119.0, 10.6, 2.1, 1.3, 1.1, 1
115.0, 7.1, 1.3, 1.3, 2.0, 1
103.0, 10.1, 1.3, 0.7, 0.1, 1
100.0, 6.1, 2.4, 1.8, 3.8, 1
120.0, 8.4, 1.1, 1.4, 1.4, 1
117.0, 11.0, 1.4, 1.5, 2.1, 1
130.0, 9.5, 1.7, 0.4, 3.2, 1
121.0, 10.1, 2.4, 0.8, 3.0, 1
103.0, 12.2, 1.2, 1.3, 2.7, 1
101.0, 7.1, 2.2, 0.8, 2.2, 1
117.0, 9.2, 1.9, 1.5, 6.8, 1
106.0, 6.7, 1.5, 1.2, 3.9, 1
104.0, 6.3, 2.0, 1.2, 4.0, 1
126.0, 9.4, 2.3, 1.0, 4.0, 1
98.0, 9.1, 1.4, 1.9, -0.3, 1
110.0, 8.4, 1.4, 1.0, 1.9, 1
105.0, 7.0, 1.5, 2.7, 4.3, 1
118.0, 10.6, 1.8, 1.4, 3.0, 1
109.0, 8.9, 1.7, 1.0, 0.9, 1
102.0, 8.5, 1.2, 1.3, 1.4, 1
111.0, 8.5, 1.6, 1.1, 3.9, 1
98.0, 10.4, 1.6, 2.3, -0.7, 1
112.0, 10.6, 1.6, 0.9, -0.1, 1
98.0, 5.7, 0.4, 1.3, 2.8, 1
111.0, 11.9, 2.3, 0.9, 3.8, 1
139.0, 16.4, 3.8, 1.1, -0.2, 2
65.0, 18.2, 10.0, 1.3, 0.1, 2
99.0, 13.0, 3.6, 0.7, -0.1, 2
89.0, 21.8, 7.1, 0.7, -0.1, 2
97.0, 14.2, 3.6, 1.5, 0.3, 2
110.0, 15.2, 1.9, 0.7, -0.2, 2
105.0, 12.0, 3.3, 1.1, 0.0, 2
120.0, 6.8, 2.1, 10.4, 38.6, 3
126.0, 0.5, 0.2, 12.2, 8.8, 3
121.0, 4.7, 1.8, 11.2, 53.0, 3
131.0, 2.7, 0.8, 9.9, 4.7, 3
112.0, 2.6, 0.7, 41.0, 19.0, 3
103.0, 5.1, 1.4, 1.2, 5.0, 3
